DATE,IPB50001SQ
1919-01-01,4.8185
1919-04-01,4.8554
1919-07-01,5.3908
1919-10-01,5.2616
1920-01-01,5.7508
1920-04-01,5.4831
1920-07-01,5.3816
1920-10-01,4.6708
1921-01-01,4.0062
1921-04-01,3.9693
1921-07-01,4.0616
1921-10-01,4.3293
1922-01-01,4.6708
1922-04-01,4.9847
1922-07-01,5.2524
1922-10-01,5.9262
1923-01-01,6.1016
1923-04-01,6.4339
1923-07-01,6.2493
1923-10-01,6.0462
1924-01-01,6.1293
1924-04-01,5.6493
1924-07-01,5.5108
1924-10-01,5.9724
1925-01-01,6.3139
1925-04-01,6.3324
1925-07-01,6.3508
1925-10-01,6.6277
1926-01-01,6.6462
1926-04-01,6.6924
1926-07-01,6.8493
1926-10-01,6.9231
1927-01-01,6.9324
1927-04-01,6.8678
1927-07-01,6.7478
1927-10-01,6.5447
1928-01-01,6.7570
1928-04-01,6.8585
1928-07-01,7.1170
1928-10-01,7.4770
1929-01-01,7.7170
1929-04-01,7.9755
1929-07-01,8.0955
1929-10-01,7.5231
1930-01-01,7.1170
1930-04-01,6.8401
1930-07-01,6.2401
1930-10-01,5.8154
1931-01-01,5.7047
1931-04-01,5.7139
1931-07-01,5.2985
1931-10-01,4.8277
1932-01-01,4.5600
1932-04-01,4.0431
1932-07-01,3.9508
1932-10-01,4.2647
1933-01-01,4.0616
1933-04-01,4.8924
1933-07-01,5.8708
1933-10-01,5.0954
1934-01-01,5.4277
1934-04-01,5.7139
1934-07-01,5.1508
1934-10-01,5.2985
1935-01-01,6.0462
1935-04-01,5.9816
1935-07-01,6.2401
1935-10-01,6.7385
1936-01-01,6.6462
1936-04-01,7.2001
1936-07-01,7.5970
1936-10-01,8.0678
1937-01-01,8.4185
1937-04-01,8.5662
1937-07-01,8.4278
1937-10-01,6.9139
1938-01-01,6.0831
1938-04-01,5.8801
1938-07-01,6.4893
1938-10-01,7.1078
1939-01-01,7.3016
1939-04-01,7.3478
1939-07-01,7.9016
1939-10-01,8.8155
1940-01-01,8.5293
1940-04-01,8.7324
1940-07-01,9.2124
1940-10-01,9.7570
1941-01-01,10.6155
1941-04-01,11.3263
1941-07-01,11.7786
1941-10-01,12.0370
1942-01-01,12.6278
1942-04-01,12.4616
1942-07-01,13.1540
1942-10-01,14.2617
1943-01-01,15.0278
1943-04-01,15.4709
1943-07-01,16.2832
1943-10-01,16.9940
1944-01-01,17.1971
1944-04-01,17.1325
1944-07-01,17.1417
1944-10-01,17.0863
1945-01-01,16.7632
1945-04-01,15.9509
1945-07-01,13.7447
1945-10-01,12.2216
1946-01-01,11.7140
1946-04-01,12.0186
1946-07-01,13.1632
1946-10-01,13.8186
1947-01-01,14.1509
1947-04-01,14.1601
1947-07-01,14.1878
1947-10-01,14.5755
1948-01-01,14.7232
1948-04-01,14.8801
1948-07-01,15.0186
1948-10-01,14.8617
1949-01-01,14.3817
1949-04-01,13.9294
1949-07-01,13.9571
1949-10-01,13.8924
1950-01-01,14.6217
1950-04-01,15.8494
1950-07-01,17.1232
1950-10-01,17.4186
1951-01-01,17.7694
1951-04-01,17.8248
1951-07-01,17.4002
1951-10-01,17.5202
1952-01-01,17.9263
1952-04-01,17.6678
1952-07-01,18.1848
1952-10-01,19.4863
1953-01-01,19.8740
1953-04-01,20.1509
1953-07-01,20.1694
1953-10-01,19.2186
1954-01-01,18.6094
1954-04-01,18.5355
1954-07-01,18.6279
1954-10-01,19.1448
1955-01-01,20.1786
1955-04-01,21.0556
1955-07-01,21.3786
1955-10-01,21.8863
1956-01-01,21.9694
1956-04-01,21.8771
1956-07-01,21.7571
1956-10-01,22.5510
1957-01-01,22.7633
1957-04-01,22.4771
1957-07-01,22.5602
1957-10-01,21.6094
1958-01-01,20.3910
1958-04-01,20.0494
1958-07-01,21.1110
1958-10-01,22.0617
1959-01-01,23.0310
1959-04-01,24.1479
1959-07-01,23.1602
1959-10-01,23.2710
1960-01-01,24.6741
1960-04-01,24.1387
1960-07-01,23.7417
1960-10-01,23.1694
1961-01-01,22.8187
1961-04-01,23.7233
1961-07-01,24.4802
1961-10-01,25.3387
1962-01-01,25.7172
1962-04-01,25.9664
1962-07-01,26.2433
1962-10-01,26.4649
1963-01-01,26.9541
1963-04-01,27.6649
1963-07-01,27.8495
1963-10-01,28.3203
1964-01-01,28.7080
1964-04-01,29.3818
1964-07-01,29.8526
1964-10-01,30.3049
1965-01-01,31.4495
1965-04-01,32.1788
1965-07-01,32.8526
1965-10-01,33.5172
1966-01-01,34.4772
1966-04-01,35.1972
1966-07-01,35.7419
1966-10-01,36.0834
1967-01-01,35.8846
1967-04-01,35.7383
1967-07-01,35.9842
1967-10-01,36.9470
1968-01-01,37.4744
1968-04-01,37.9797
1968-07-01,38.2744
1968-10-01,38.8556
1969-01-01,39.6115
1969-04-01,39.7843
