Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-88,18812.21462,7971.450619,11292,11149,144,35032.68941,,18805,7874,11292,11149,144,35091
Apr-88,19023.01715,8103.157607,11447,11343,104,35483.0019,,19021,8066,11447,11343,104,35458
Jul-88,19217.03247,8270.718297,12076,11908,168,35969.56844,,19219,8194,12076,11908,168,35788
Oct-88,19438.04973,8341.438848,12108,11707,401,36190.88145,,19445,8205,12108,11707,401,36219
Jan-89,19669.19956,8335.904191,12463,12155,308,36557.8326,,19662,8548,12463,12155,308,36599
Apr-89,19933.83094,8325.173014,12991,12544,447,36931.3016,,19932,8288,12991,12544,447,36909
Jul-89,20149.90095,8426.148545,12867,12477,390,37339.06474,,20151,8321,12867,12477,390,37301
Oct-89,20368.72329,8570.914021,12993,12781,212,37903.84106,,20376,8560,12993,12781,212,37913
Jan-90,20622.70521,8762.933514,13515,13417,98,38368.50317,,20616,8851,13515,13417,98,38424
Apr-90,20798.40341,8838.958268,13713,12925,788,38646.11892,,20797,8801,13713,12925,788,38628
Jul-90,20974.22896,8929.778126,13775,13576,199,39023.4238,,20974,8948,13775,13576,199,38967
Oct-90,21083.2513,9010.643444,14255,13562,692,39514.66295,,21091,9070,14255,13562,692,39571
Jan-91,21181.68387,9203.280974,14147,13643,503,39692.19461,,21176,9224,14147,13643,503,39693
Apr-91,21252.60329,9629.000936,14452,14553,-101,40059.09373,,21251,9590,14452,14553,-101,40048
Jul-91,21537.51324,9492.525853,14781,14428,353,40404.19419,,21537,9581,14781,14428,353,40396
Oct-91,21700.71266,9596.023568,14780,13929,850,40641.60474,,21708,9535,14780,13929,850,40712
Jan-92,21841.29239,9653.961653,14963,14037,926,40967.07023,,21838,9526,14963,14037,926,40995
Apr-92,21968.21392,9569.039941,15048,14327,721,41176.90349,,21966,9533,15048,14327,721,41174
Jul-92,21904.09122,9534.401853,14315,14146,169,41103.1108,,21902,9551,14315,14146,169,41031
Oct-92,21971.90869,9347.313592,14776,14660,116,41054.51754,,21979,9524,14776,14660,116,41185
Jan-93,22044.29407,9263.151974,14175,13589,586,41116.03615,,22043,9172,14175,13589,586,41016
Apr-93,22168.84811,9536.598764,14482,14236,246,41225.19477,,22166,9502,14482,14236,246,41230
Jul-93,22271.78842,9430.244797,14846,14266,580,41446.25414,,22268,9628,14846,14266,580,41519
Oct-93,22404.3047,9587.327758,14745,14611,134,41635.25242,,22412,9469,14745,14611,134,41510
Jan-94,22522.69876,9670.189468,15157,14745,412,41869.44004,,22522,9877,15157,14745,412,42008
Apr-94,22689.91662,9725.403284,15099,15110,-11,42178.98489,,22687,9693,15099,15110,-11,42191
Jul-94,22854.98916,9992.085591,15224,15415,-191,42507.00706,,22851,9887,15224,15415,-191,42327
Oct-94,23051.57883,10243.55238,16036,16027,10,43042.7409,,23060,10085,16036,16027,10,43088
Jan-95,23230.98347,9580.05821,15940,16154,-214,42924.63533,,23231,9816,15940,16154,-214,42875
Apr-95,23320.27417,10065.46806,15693,16298,-605,43054.75237,,23317,10034,15693,16298,-605,43074
Jul-95,23486.15795,10188.30606,15998,16050,-52,43085.74714,,23481,10048,15998,16050,-52,43085
Oct-95,23507.6506,10247.02463,15718,16226,-508,43308.98007,,23516,10240,15718,16226,-508,43334
Jan-96,23659.56052,10121.48792,16389,16529,-140,43564.85672,,23660,9984,16389,16529,-140,43521
Apr-96,24560.82502,10400.57012,16409,16843,-435,43813.92744,,24558,10375,16409,16843,-435,43837
Jul-96,23860.34425,10331.82812,16532,17209,-677,44039.09069,,23854,10413,16532,17209,-677,44077
Oct-96,23995.12947,10273.68167,17293,17308,-15,43971.53479,,24004,10210,17293,17308,-15,44051
Jan-97,24212.92213,10272.78655,17790,18247,-457,43974.52154,,24215,10427,17790,18247,-457,43871
Apr-97,24430.24312,10216.65502,18345,18728,-382,44378.08947,,24427,10195,18345,18728,-382,44405
Jul-97,24630.6311,10538.20891,19542,19520,22,44893.91504,,24622,10477,19542,19520,22,44944
Oct-97,24871.40523,10779.15605,19169,19652,-483,45428.90408,,24880,10778,19169,19652,-483,45415
Jan-98,25036.39596,10965.82296,20057,19942,114,45926.67367,,25040,11063,20057,19942,114,45919
Apr-98,25145.76196,10802.72395,20065,20030,35,46346.08176,,25141,10787,20065,20030,35,46368
Jul-98,25283.3341,10756.38473,20106,20067,39,46424.27967,,25275,10751,20106,20067,39,46386
