Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-80,22230,8973,21542,22205,-663,41281,,22230,8973,21542,22205,-663,41281
Apr-80,22148,9010,20892,22063,-1171,41006,,22148,9010,20892,22063,-1171,41006
Jul-80,22154,8837,20797,21388,-591,40605,,22154,8837,20797,21388,-591,40605
Oct-80,22034,8346,21164,21429,-265,40522,,22034,8346,21164,21429,-265,40522
Jan-81,21994,8005,22034,21440,594,40531,,21994,8005,22034,21440,594,40531
Apr-81,22318,7527,22296,21985,311,41122,,22318,7527,22296,21985,311,41122
Jul-81,22313,7233,22174,21815,359,40945,,22313,7233,22174,21815,359,40945
Oct-81,22396,7165,20921,20346,575,41055,,22396,7165,20921,20346,575,41055
Jan-82,22713,7203,21112,21172,-60,41110,,22713,7203,21112,21172,-60,41110
Apr-82,22768,7233,22661,21968,693,41220,,22768,7233,22661,21968,693,41220
Jul-82,22821,7187,23297,21737,1560,41267,,22821,7187,23297,21737,1560,41267
Oct-82,22883,7163,23459,22317,1142,41006,,22883,7163,23459,22317,1142,41006
Jan-83,22796,6978,22994,21664,1330,41013,,22796,6978,22994,21664,1330,41013
Apr-83,22792,6734,23144,20588,2556,41032,,22792,6734,23144,20588,2556,41032
Jul-83,22775,6772,23487,21852,1635,41375,,22775,6772,23487,21852,1635,41375
Oct-83,22725,6663,24387,22223,2164,41837,,22725,6663,24387,22223,2164,41837
Jan-84,22781,7070,24537,22760,1777,42006,,22781,7070,24537,22760,1777,42006
Apr-84,22614,6740,24828,22317,2511,42071,,22614,6740,24828,22317,2511,42071
Jul-84,22823,6805,24553,22777,1776,42191,,22823,6805,24553,22777,1776,42191
Oct-84,23041,6948,25349,23778,1571,42463,,23041,6948,25349,23778,1571,42463
Jan-85,23176,6948,25491,23261,2230,42645,,23176,6948,25491,23261,2230,42645
Apr-85,23398,7358,24443,22972,1471,42800,,23398,7358,24443,22972,1471,42800
Jul-85,23586,7259,24835,22812,2023,43090,,23586,7259,24835,22812,2023,43090
Oct-85,23777,7448,24733,23111,1622,43313,,23777,7448,24733,23111,1622,43313
Jan-86,23951,7419,25884,24301,1583,43551,,23951,7419,25884,24301,1583,43551
Apr-86,23972,7404,24907,23461,1446,43639,,23972,7404,24907,23461,1446,43639
Jul-86,24266,7551,25376,24058,1318,44177,,24266,7551,25376,24058,1318,44177
Oct-86,24205,7510,25619,23937,1682,43666,,24205,7510,25619,23937,1682,43666
Jan-87,24214,7538,25368,24210,1158,43974,,24214,7538,25368,24210,1158,43974
Apr-87,24455,7715,26867,25559,1308,44463,,24455,7715,26867,25559,1308,44463
Jul-87,24641,7933,27282,25871,1411,45084,,24641,7933,27282,25871,1411,45084
Oct-87,24881,8273,26909,26667,242,45666,,24881,8273,26909,26667,242,45666
Jan-88,25090,8408,27838,26336,1502,46118,,25090,8408,27838,26336,1502,46118
Apr-88,25242,8808,29066,28520,546,46548,,25242,8808,29066,28520,546,46548
Jul-88,25407,9223,29921,29485,436,47120,,25407,9223,29921,29485,436,47120
Oct-88,25644,9878,30547,28937,1610,47582,,25644,9878,30547,28937,1610,47582
Jan-89,25889,9777,31298,30035,1263,47944,,25889,9777,31298,30035,1263,47944
Apr-89,26048,10103,31812,31005,807,48404,,26048,10103,31812,31005,807,48404
Jul-89,26202,10325,31931,30952,979,48584,,26202,10325,31931,30952,979,48584
Oct-89,26557,10583,32635,32660,-25,49215,,26557,10583,32635,32660,-25,49215
Jan-90,26915,10898,32717,32397,320,49985,,26915,10898,32717,32397,320,49985
Apr-90,26962,11065,33001,32253,748,49808,,26962,11065,33001,32253,748,49808
Jul-90,27057,11173,33524,33275,249,49874,,27057,11173,33524,33275,249,49874
Oct-90,27108,10932,34284,32749,1535,50479,,27108,10932,34284,32749,1535,50479
Jan-91,27385,10755,34359,33762,597,50261,,27385,10755,34359,33762,597,50261
Apr-91,27714,10430,34169,33153,1016,50848,,27714,10430,34169,33153,1016,50848
Jul-91,28021,10502,34568,33789,779,51191,,28021,10502,34568,33789,779,51191
Oct-91,28179,10663,34153,33648,505,51450,,28179,10663,34153,33648,505,51450
Jan-92,28225,10737,34257,33807,450,52171,,28225,10737,34257,33807,450,52171
Apr-92,28474,10902,35405,34964,441,51537,,28474,10902,35405,34964,441,51537
Jul-92,28307,10689,34502,34248,254,51696,,28307,10689,34502,34248,254,51696
Oct-92,28227,10290,36356,35566,790,51059,,28227,10290,36356,35566,790,51059
Jan-93,28033,10594,35565,34786,779,50671,,28033,10594,35565,34786,779,50671
Apr-93,28107,10411,35148,34950,198,51183,,28107,10411,35148,34950,198,51183
Jul-93,28202,10443,35509,35038,471,51345,,28202,10443,35509,35038,471,51345
Oct-93,28404,10458,35541,34561,980,51834,,28404,10458,35541,34561,980,51834
Jan-94,28676,10460,36671,35856,815,52199,,28676,10460,36671,35856,815,52199
Apr-94,28745,10407,37774,36492,1282,52799,,28745,10407,37774,36492,1282,52799
Jul-94,28867,10507,39183,37594,1589,52947,,28867,10507,39183,37594,1589,52947
Oct-94,29105,10519,40885,39630,1255,53837,,29105,10519,40885,39630,1255,53837
Jan-95,28970,10809,40994,38941,2053,54057,,28970,10809,40994,38941,2053,54057
Apr-95,29038,10795,40681,39175,1506,54082,,29038,10795,40681,39175,1506,54082
Jul-95,29191,10906,40132,39233,899,54262,,29191,10906,40132,39233,899,54262
Oct-95,29297,10884,40030,39318,712,54251,,29297,10884,40030,39318,712,54251
Jan-96,29230,10625,40645,39900,745,53937,,29230,10625,40645,39900,745,53937
Apr-96,29469,10739,41378,40029,1349,54556,,29469,10739,41378,40029,1349,54556
Jul-96,29480,10851,41506,40288,1218,54864,,29480,10851,41506,40288,1218,54864
Oct-96,29623,11108,42073,40208,1865,55147,,29623,11108,42073,40208,1865,55147
Jan-97,29676,11280,42513,40517,1996,55710,,29676,11280,42513,40517,1996,55710
Apr-97,29970,12008,43535,42344,1191,56582,,29970,12008,43535,42344,1191,56582
Jul-97,30196,11512,44870,42404,2466,56944,,30196,11512,44870,42404,2466,56944
Oct-97,30341,11993,44714,42943,1771,57419,,30341,11993,44714,42943,1771,57419
Jan-98,30746,11864,45589,44368,1221,57706,,30746,11864,45589,44368,1221,57706
Apr-98,30892,11883,46737,45048,1689,58018,,30892,11883,46737,45048,1689,58018
Jul-98,31115,12355,46867,45932,935,57870,,31115,12355,46867,45932,935,57870
Oct-98,31257,12358,46398,45194,1204,57763,,31257,12358,46398,45194,1204,57763
Jan-99,31327,12425,47489,45704,1785,58495,,31327,12425,47489,45704,1785,58495
Apr-99,31407,12602,48147,46494,1653,58923,,31407,12602,48147,46494,1653,58923
Jul-99,31877,12954,49257,47518,1739,60285,,31877,12954,49257,47518,1739,60285
Oct-99,32092,12683,50637,48893,1744,61029,,32092,12683,50637,48893,1744,61029
Jan-00,32438,12960,51754,50394,1360,61130,,32438,12960,51754,50394,1360,61130
Apr-00,32603,13161,52358,50219,2139,61623,,32603,13161,52358,50219,2139,61623
Jul-00,32802,13132,53325,51411,1914,62142,,32802,13132,53325,51411,1914,62142
Oct-00,33076,13163,54922,52461,2461,62783,,33076,13163,54922,52461,2461,62783
Jan-01,33189,13387,55012,53148,1864,62742,,33189,13387,55012,53148,1864,62742
Apr-01,32991,13143,54125,51922,2203,62505,,32991,13143,54125,51922,2203,62505
Jul-01,33025,13345,53263,51070,2193,62371,,33025,13345,53263,51070,2193,62371
Oct-01,32987,12791,52704,50510,2194,61769,,32987,12791,52704,50510,2194,61769
Jan-02,32870,13151,52994,50760,2234,62266,,32870,13151,52994,50760,2234,62266
Apr-02,33067,12855,54854,52137,2717,62664,,33067,12855,54854,52137,2717,62664
Jul-02,33287,12746,54255,52816,1439,63010,,33287,12746,54255,52816,1439,63010
Oct-02,33289,12759,54635,53277,1358,63129,,33289,12759,54635,53277,1358,63129
Jan-03,33506,12927,53643,52316,1327,63274,,33506,12927,53643,52316,1327,63274
Apr-03,33662,12790,53350,51528,1822,63185,,33662,12790,53350,51528,1822,63185
