Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-81,346286,121927,127403,126977,426,598955,,346286,121927,127403,126977,426,598955
Apr-81,345457,125142,131229,135984,-4755,604542,,345457,125142,131229,135984,-4755,604542
Jul-81,343588,122181,128288,129861,-1573,600289,,343588,122181,128288,129861,-1573,600289
Oct-81,343783,120685,128597,125069,3528,597224,,343783,120685,128597,125069,3528,597224
Jan-82,338414,116695,125737,114367,11370,591335,,338414,116695,125737,114367,11370,591335
Apr-82,336669,108404,128414,108524,19890,585561,,336669,108404,128414,108524,19890,585561
Jul-82,335394,103068,132355,108588,23767,580418,,335394,103068,132355,108588,23767,580418
Oct-82,333844,105528,120927,102986,17941,575040,,333844,105528,120927,102986,17941,575040
Jan-83,338933,105036,124328,108023,16305,583915,,338933,105036,124328,108023,16305,583915
Apr-83,343140,107128,133337,113117,20220,597297,,343140,107128,133337,113117,20220,597297
Jul-83,347316,108396,135132,123225,11907,603627,,347316,108396,135132,123225,11907,603627
Oct-83,350199,109064,144616,133333,11283,610924,,350199,109064,144616,133333,11283,610924
Jan-84,354394,109605,151332,137618,13714,621643,,354394,109605,151332,137618,13714,621643
Apr-84,358439,109151,156268,138824,17444,632411,,358439,109151,156268,138824,17444,632411
Jul-84,359391,110482,165348,144161,21187,635113,,359391,110482,165348,144161,21187,635113
Oct-84,365784,110448,163402,138693,24709,645857,,365784,110448,163402,138693,24709,645857
Jan-85,369898,113278,164425,143451,20974,654767,,369898,113278,164425,143451,20974,654767
Apr-85,373582,118528,165790,150620,15170,656611,,373582,118528,165790,150620,15170,656611
Jul-85,380713,122543,167096,155437,11659,666777,,380713,122543,167096,155437,11659,666777
Oct-85,385123,123774,169684,156420,13264,678079,,385123,123774,169684,156420,13264,678079
Jan-86,384441,125597,169468,159607,9861,675755,,384441,125597,169468,159607,9861,675755
Apr-86,389361,125102,171455,158798,12657,681683,,389361,125102,171455,158798,12657,681683
Jul-86,395582,124528,178390,165655,12735,683485,,395582,124528,178390,165655,12735,683485
Oct-86,396212,125064,176301,165587,10714,679653,,396212,125064,176301,165587,10714,679653
Jan-87,399443,128770,178352,163800,14552,694435,,399443,128770,178352,163800,14552,694435
Apr-87,406363,135488,175595,166048,9547,703061,,406363,135488,175595,166048,9547,703061
Jul-87,410142,142883,178433,170063,8370,714583,,410142,142883,178433,170063,8370,714583
Oct-87,414858,145560,183679,184370,-691,724153,,414858,145560,183679,184370,-691,724153
Jan-88,417877,147651,193384,191147,2237,735250,,417877,147651,193384,191147,2237,735250
Apr-88,424299,149330,196623,191312,5311,743881,,424299,149330,196623,191312,5311,743881
Jul-88,426984,153964,192890,195919,-3029,745946,,426984,153964,192890,195919,-3029,745946
Oct-88,431901,153364,197160,197954,-794,752255,,431901,153364,197160,197954,-794,752255
Jan-89,435969,159302,201080,204011,-2931,760220,,435969,159302,201080,204011,-2931,760220
Apr-89,441285,157957,192872,204857,-11985,763672,,441285,157957,192872,204857,-11985,763672
Jul-89,439683,157564,194219,203517,-9298,765200,,439683,157564,194219,203517,-9298,765200
Oct-89,442483,163426,199526,209573,-10047,766256,,442483,163426,199526,209573,-10047,766256
Jan-90,449195,160982,202281,212210,-9929,771808,,449195,160982,202281,212210,-9929,771808
Apr-90,443785,156596,209469,212905,-3436,768585,,443785,156596,209469,212905,-3436,768585
Jul-90,444216,151292,208895,208563,332,763651,,444216,151292,208895,208563,332,763651
Oct-90,442485,144364,203840,204978,-1138,757201,,442485,144364,203840,204978,-1138,757201
Jan-91,432256,145571,200082,205864,-5782,745782,,432256,145571,200082,205864,-5782,745782
Apr-91,439013,143839,207458,210030,-2572,747763,,439013,143839,207458,210030,-2572,747763
Jul-91,438825,144099,215920,220450,-4530,750431,,438825,144099,215920,220450,-4530,750431
Oct-91,441570,146499,215787,223204,-7417,753200,,441570,146499,215787,223204,-7417,753200
Jan-92,442264,144968,217466,222673,-5207,752103,,442264,144968,217466,222673,-5207,752103
Apr-92,443668,139684,223110,224630,-1520,754253,,443668,139684,223110,224630,-1520,754253
Jul-92,445774,142964,226150,228654,-2504,757067,,445774,142964,226150,228654,-2504,757067
Oct-92,446865,136510,232703,223724,8979,759970,,446865,136510,232703,223724,8979,759970
Jan-93,449471,133952,241970,233493,8477,765599,,449471,133952,241970,233493,8477,765599
Apr-93,451191,136764,247272,240300,6972,770588,,451191,136764,247272,240300,6972,770588
Jul-93,454138,139735,249727,243006,6721,775436,,454138,139735,249727,243006,6721,775436
Oct-93,455474,142322,257934,249033,8901,782489,,455474,142322,257934,249033,8901,782489
Jan-94,462780,144603,260342,248340,12002,794261,,462780,144603,260342,248340,12002,794261
Apr-94,464174,149221,276256,258447,17809,806164,,464174,149221,276256,258447,17809,806164
Jul-94,466422,149484,287286,262082,25204,817512,,466422,149484,287286,262082,25204,817512
Oct-94,471807,150806,299676,274706,24970,824843,,471807,150806,299676,274706,24970,824843
Jan-95,470920,147057,307632,273794,33838,832472,,470920,147057,307632,273794,33838,832472
Apr-95,474454,145844,299406,275902,23504,832450,,474454,145844,299406,275902,23504,832450
Jul-95,479132,144440,299643,275725,23918,832615,,479132,144440,299643,275725,23918,832615
Oct-95,479012,144186,312227,278063,34164,836287,,479012,144186,312227,278063,34164,836287
