Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-88,113480,43479,70509,60851,9658,226954,,113480,43479,70509,60851,9658,226954
Apr-88,111525,44377,69262,61562,7700,227506,,111525,44377,69262,61562,7700,227506
Jul-88,111172,44365,70970,62917,8053,223580,,111172,44365,70970,62917,8053,223580
Oct-88,111384,44521,72505,63966,8539,227762,,111384,44521,72505,63966,8539,227762
Jan-89,112022,43962,72634,64056,8578,230060,,112022,43962,72634,64056,8578,230060
Apr-89,111738,44385,73826,64716,9110,227440,,111738,44385,73826,64716,9110,227440
Jul-89,111516,44392,73484,65207,8277,223563,,111516,44392,73484,65207,8277,223563
Oct-89,111628,42861,75281,65462,9819,226100,,111628,42861,75281,65462,9819,226100
Jan-90,110950,43501,77511,65492,12019,226735,,110950,43501,77511,65492,12019,226735
Apr-90,112708,42340,78799,65693,13106,229287,,112708,42340,78799,65693,13106,229287
Jul-90,111814,42677,76791,64778,12013,231530,,111814,42677,76791,64778,12013,231530
Oct-90,111606,43170,80336,66653,13683,228365,,111606,43170,80336,66653,13683,228365
Jan-91,112435,40395,81133,66189,14944,226833,,112435,40395,81133,66189,14944,226833
Apr-91,113193,40567,83788,67356,16432,231788,,113193,40567,83788,67356,16432,231788
Jul-91,113957,42026,85248,68877,16371,236096,,113957,42026,85248,68877,16371,236096
Oct-91,114475,42839,82419,68062,14357,231413,,114475,42839,82419,68062,14357,231413
Jan-92,115002,42604,84071,69187,14884,233930,,115002,42604,84071,69187,14884,233930
Apr-92,115043,41919,82863,68246,14617,230712,,115043,41919,82863,68246,14617,230712
Jul-92,115001,40893,81454,66482,14972,233470,,115001,40893,81454,66482,14972,233470
Oct-92,117508,36929,81183,65471,15712,233673,,117508,36929,81183,65471,15712,233673
Jan-93,113913,43021,78792,65122,13670,233162,,113913,43021,78792,65122,13670,233162
Apr-93,114703,39266,78933,63181,15752,231045,,114703,39266,78933,63181,15752,231045
Jul-93,117152,36349,82909,66137,16772,231381,,117152,36349,82909,66137,16772,231381
Oct-93,118988,37594,84134,67789,16345,236186,,118988,37594,84134,67789,16345,236186
Jan-94,122285,39584,82089,70320,11769,239656,,122285,39584,82089,70320,11769,239656
Apr-94,124051,41674,87429,73560,13869,246037,,124051,41674,87429,73560,13869,246037
Jul-94,124265,42345,88938,74791,14147,246809,,124265,42345,88938,74791,14147,246809
Oct-94,124097,44678,88903,75829,13074,250202,,124097,44678,88903,75829,13074,250202
Jan-95,123944,46062,91186,77656,13530,252503,,123944,46062,91186,77656,13530,252503
Apr-95,124904,45479,88938,77742,11196,249699,,124904,45479,88938,77742,11196,249699
Jul-95,126457,47422,88589,79385,9204,253178,,126457,47422,88589,79385,9204,253178
Oct-95,126059,48895,88740,81361,7379,254376,,126059,48895,88740,81361,7379,254376
Jan-96,127201,46665,91783,80927,10856,256362,,127201,46665,91783,80927,10856,256362
Apr-96,128022,48247,93988,81726,12262,258214,,128022,48247,93988,81726,12262,258214
Jul-96,128859,49500,92842,81788,11054,260557,,128859,49500,92842,81788,11054,260557
Oct-96,129915,50743,94288,82917,11371,260055,,129915,50743,94288,82917,11371,260055
Jan-97,130786,50284,95087,85948,9139,262097,,130786,50284,95087,85948,9139,262097
Apr-97,132959,54157,96369,89155,7214,266990,,132959,54157,96369,89155,7214,266990
Jul-97,131156,55708,97579,91922,5657,267359,,131156,55708,97579,91922,5657,267359
Oct-97,134196,56361,99292,93086,6206,269483,,134196,56361,99292,93086,6206,269483
Jan-98,133072,59629,99884,97326,2558,272194,,133072,59629,99884,97326,2558,272194
Apr-98,135771,58936,95931,95657,274,270273,,135771,58936,95931,95657,274,270273
Jul-98,135882,59444,106857,99560,7297,275110,,135882,59444,106857,99560,7297,275110
Oct-98,136448,60214,102199,99488,2711,274660,,136448,60214,102199,99488,2711,274660
Jan-99,136871,60030,109715,100852,8863,276991,,136871,60030,109715,100852,8863,276991
Apr-99,134043,59584,111598,101046,10552,278911,,134043,59584,111598,101046,10552,278911
Jul-99,136792,59626,113673,104070,9603,280709,,136792,59626,113673,104070,9603,280709
Oct-99,137097,62432,119507,107622,11885,284407,,137097,62432,119507,107622,11885,284407
Jan-00,134729,65983,118548,110604,7944,284288,,134729,65983,118548,110604,7944,284288
Apr-00,133393,65703,125223,113519,11704,288201,,133393,65703,125223,113519,11704,288201
Jul-00,133046,65899,133735,116811,16924,289289,,133046,65899,133735,116811,16924,289289
Oct-00,132586,64773,136118,119366,16752,291697,,132586,64773,136118,119366,16752,291697
Jan-01,133724,65304,132987,117364,15623,290219,,133724,65304,132987,117364,15623,290219
Apr-01,134078,68289,131408,118251,13157,291243,,134078,68289,131408,118251,13157,291243
Jul-01,133662,65872,131536,116397,15139,294105,,133662,65872,131536,116397,15139,294105
Oct-01,133882,68334,133244,117024,16220,294376,,133882,68334,133244,117024,16220,294376
Jan-02,135969,66255,138526,120584,17942,295546,,135969,66255,138526,120584,17942,295546
Apr-02,135822,67798,141110,123250,17860,301145,,135822,67798,141110,123250,17860,301145
Jul-02,136609,67148,140375,123451,16924,298730,,136609,67148,140375,123451,16924,298730
Oct-02,137111,67315,139697,121425,18272,298668,,137111,67315,139697,121425,18272,298668
Jan-03,136620,66674,140944,123358,17586,299763,,136620,66674,140944,123358,17586,299763
Apr-03,136914,63596,141514,122116,19398,298086,,136914,63596,141514,122116,19398,298086
