Source = IFS,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-80,184.18,81.43,168.49,220.06,-47.35,351.79,,181.80,81.76,174.98,217.33,-42.35,357.19
Apr-80,186.77,82.09,158.75,206.45,-46.88,361.09,,182.19,80.88,152.52,197.75,-45.22,356.22
Jul-80,189.72,75.27,147.86,209.17,-60.41,359.98,,195.54,76.32,135.19,214.65,-79.46,349.68
Oct-80,196.13,78.09,153.32,216.65,-63.18,361.31,,194.67,79.06,170.23,221.12,-50.88,372.44
Jan-81,201.50,79.08,158.12,219.85,-65.01,369.50,,200.26,79.67,159.52,219.36,-59.84,372.97
Apr-81,205.67,83.86,161.67,235.05,-71.24,376.54,,201.03,82.42,155.16,224.89,-69.73,371.21
Jul-81,204.25,84.22,164.36,225.37,-61.22,373.65,,210.52,83.77,150.65,230.80,-80.15,363.57
Oct-81,212.59,86.16,155.81,222.61,-66.54,383.87,,210.91,87.60,172.70,227.02,-54.32,395.54
Jan-82,214.70,90.60,153.80,225.06,-74.94,383.49,,213.18,90.92,155.18,224.61,-69.43,386.56
Apr-82,215.55,87.30,150.16,229.53,-76.28,376.19,,210.84,85.40,143.95,219.63,-75.68,370.68
Jul-82,219.45,85.29,143.37,224.27,-79.44,367.84,,226.50,85.61,132.10,229.54,-97.45,359.32
Oct-82,226.40,88.23,139.65,208.28,-70.09,396.90,,224.31,89.73,154.11,212.29,-58.18,408.07
Jan-83,231.77,89.08,130.58,198.58,-66.76,392.93,,229.95,89.54,131.89,192.86,-60.98,395.53
Apr-83,232.46,91.03,132.17,196.30,-65.23,392.13,,227.44,88.48,126.45,192.15,-65.69,386.01
Jul-83,229.38,95.19,129.35,201.79,-70.26,388.41,,237.70,95.97,120.17,207.33,-87.15,381.85
Oct-83,226.80,91.32,148.21,222.59,-78.04,390.23,,228.71,90.73,161.82,227.89,-66.07,400.12
Jan-84,221.79,86.03,154.54,219.10,-64.08,390.36,,218.43,86.89,160.83,219.40,-58.57,394.14
Apr-84,223.50,85.70,152.44,214.20,-57.19,390.42,,218.07,82.73,145.68,204.68,-59.00,384.43
Jul-84,223.37,84.93,159.43,221.15,-65.03,401.04,,237.69,84.64,149.14,228.89,-79.75,397.77
Oct-84,215.26,78.96,167.54,226.51,-57.55,412.73,,211.78,81.58,181.80,228.02,-46.23,420.09
Jan-85,227.16,78.52,178.61,234.25,-60.91,405.89,,225.17,78.24,180.86,236.89,-56.03,406.97
Apr-85,236.99,81.66,189.06,260.78,-68.19,424.05,,230.81,78.41,180.41,251.02,-70.62,417.56
Jul-85,233.53,71.94,183.71,223.88,-41.69,419.95,,244.50,73.59,174.70,229.03,-54.33,419.30
Oct-85,259.95,78.45,183.40,251.49,-65.25,411.64,,255.72,81.68,196.66,251.60,-54.95,416.53
Jan-86,257.85,76.77,178.81,228.32,-47.12,429.19,,256.05,76.28,181.19,223.92,-42.73,429.26
Apr-86,266.65,76.28,175.90,222.94,-50.80,429.69,,259.82,72.95,168.06,221.98,-53.91,423.91
Jul-86,279.31,78.18,183.03,228.27,-46.67,442.39,,291.08,80.13,176.10,232.61,-56.51,444.29
Oct-86,281.50,80.08,176.66,227.28,-47.99,443.43,,277.07,81.96,187.11,226.86,-39.75,446.08
