Source = OECD,Deseasonalized,,,,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-79,17115496,8269800,4856343,5301813,-445470,29260077,,17115496,8269800,4856343,5301813,-445470,29260077,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-80,16500622,8118785,4816686,5291430,-474744,29146440,,16500622,8118785,4816686,5291430,-474744,29146440,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-80,16573035,7378585,4889789,5157250,-267461,28950396,,16573035,7378585,4889789,5157250,-267461,28950396,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-80,16744305,7571469,5073975,5197893,-123918,29166982,,16744305,7571469,5073975,5197893,-123918,29166982,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-80,16785111,7377967,5572418,5477510,94908,29091992,,16785111,7377967,5572418,5477510,94908,29091992,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-81,16843934,7661575,5859985,5439944,420041,29493035,,16843934,7661575,5859985,5439944,420041,29493035,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-81,17294860,7057435,5956571,5720721,235850,29949316,,17294860,7057435,5956571,5720721,235850,29949316,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-81,17431430,7000913,5925800,5744860,180940,30829395,,17431430,7000913,5925800,5744860,180940,30829395,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-81,17889636,7530899,5849966,5604451,245515,31390314,,17889636,7530899,5849966,5604451,245515,31390314,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-82,18003893,7763971,6236168,5474101,762067,31494946,,18003893,7763971,6236168,5474101,762067,31494946,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-82,18450036,7730514,6439154,5774188,664966,32176150,,18450036,7730514,6439154,5774188,664966,32176150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-82,18765008,8274232,6304771,6128518,176253,33025771,,18765008,8274232,6304771,6128518,176253,33025771,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-82,19018847,8545580,6313481,6092120,221361,34035895,,19018847,8545580,6313481,6092120,221361,34035895,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-83,19628501,8829522,6560614,6304674,255940,34870824,,19628501,8829522,6560614,6304674,255940,34870824,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-83,20077469,9476432,6933137,6361582,571555,35768301,,20077469,9476432,6933137,6361582,571555,35768301,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-83,20437246,9676507,7547197,6272081,1275116,36973480,,20437246,9676507,7547197,6272081,1275116,36973480,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-83,20751939,9847892,7824568,6935263,889305,37474391,,20751939,9847892,7824568,6935263,889305,37474391,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-84,21262168,10024405,7766830,6960601,806229,38709623,,21262168,10024405,7766830,6960601,806229,38709623,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-84,21612959,10712857,7695268,6956082,739186,38667126,,21612959,10712857,7695268,6956082,739186,38667126,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-84,22060110,10507676,7817697,7172471,645226,39304287,,22060110,10507676,7817697,7172471,645226,39304287,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-84,22145849,10461152,8225463,6838727,1386736,39995591,,22145849,10461152,8225463,6838727,1386736,39995591,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-85,22656725,10911024,7707592,6904819,802773,40898313,,22656725,10911024,7707592,6904819,802773,40898313,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-85,22993077,10435912,8001369,6880168,1121201,41467314,,22993077,10435912,8001369,6880168,1121201,41467314,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-85,23447852,10939026,8355792,6748598,1607194,42253342,,23447852,10939026,8355792,6748598,1607194,42253342,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-85,23859192,11393000,8708557,7414087,1294470,43254564,,23859192,11393000,8708557,7414087,1294470,43254564,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-86,24306044,11678466,9295751,7903895,1391856,43484049,,24306044,11678466,9295751,7903895,1391856,43484049,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-86,24800524,12125490,10192923,8213871,1979052,45556074,,24800524,12125490,10192923,8213871,1979052,45556074,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-86,25510156,12255930,10890734,8381848,2508886,47732830,,25510156,12255930,10890734,8381848,2508886,47732830,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-86,26092984,12188401,11169685,8659500,2510185,48307661,,26092984,12188401,11169685,8659500,2510185,48307661,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-87,26138838,13192513,11883106,8886364,2996742,49513908,,26138838,13192513,11883106,8886364,2996742,49513908,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-87,26852534,13729507,13181295,10077679,3103616,51361964,,26852534,13729507,13181295,10077679,3103616,51361964,,,,,,,,,,,,,,,,,,,,,,,,,,,
