Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Apr-87,11396,3867,4499,4172,327,19424,,11396,3867,4499,4172,327,19424
Jul-87,11464,3894,4630,4022,608,19471,,11464,3894,4630,4022,608,19471
Oct-87,11668,3907,4650,4394,256,19738,,11668,3907,4650,4394,256,19738
Jan-88,11706,3966,4806,4233,573,19820,,11706,3966,4806,4233,573,19820
Apr-88,11629,3773,4570,4081,489,19795,,11629,3773,4570,4081,489,19795
Jul-88,11805,3874,4805,4091,714,19925,,11805,3874,4805,4091,714,19925
Oct-88,11856,3815,4946,4166,780,20045,,11856,3815,4946,4166,780,20045
Jan-89,11861,3889,4900,4374,526,20133,,11861,3889,4900,4374,526,20133
Apr-89,12192,4077,4741,4587,154,20303,,12192,4077,4741,4587,154,20303
Jul-89,11750,3930,4525,4707,-182,19617,,11750,3930,4525,4707,-182,19617
Oct-89,11676,4229,4686,5139,-453,20001,,11676,4229,4686,5139,-453,20001
Jan-90,11814,3967,4858,4826,32,20130,,11814,3967,4858,4826,32,20130
Apr-90,11824,3923,4819,4949,-130,20013,,11824,3923,4819,4949,-130,20013
Jul-90,11884,4031,5066,5003,63,20035,,11884,4031,5066,5003,63,20035
Oct-90,11934,4077,5029,4710,319,20305,,11934,4077,5029,4710,319,20305
Jan-91,11785,3553,5267,4723,544,19750,,11785,3553,5267,4723,544,19750
Apr-91,11610,3142,5358,4590,768,19618,,11610,3142,5358,4590,768,19618
Jul-91,11651,3131,5558,4519,1039,19775,,11651,3131,5558,4519,1039,19775
Oct-91,11686,3247,5717,4647,1070,19829,,11686,3247,5717,4647,1070,19829
Jan-92,11665,3356,5534,4977,557,19948,,11665,3356,5534,4977,557,19948
Apr-92,11602,3210,5859,4909,950,20039,,11602,3210,5859,4909,950,20039
Jul-92,11651,3200,5667,4974,693,19776,,11651,3200,5667,4974,693,19776
Oct-92,11827,3331,5654,5150,504,19867,,11827,3331,5654,5150,504,19867
Jan-93,11771,3444,5714,5017,697,20273,,11771,3444,5714,5017,697,20273
Apr-93,11966,3619,5894,5203,691,20565,,11966,3619,5894,5203,691,20565
Jul-93,12069,3926,6043,5355,688,21093,,12069,3926,6043,5355,688,21093
Oct-93,12213,4002,6105,5503,602,21423,,12213,4002,6105,5503,602,21423
Jan-94,12358,3984,6395,5537,858,21873,,12358,3984,6395,5537,858,21873
Apr-94,12622,4283,6526,5924,602,22070,,12622,4283,6526,5924,602,22070
Jul-94,12862,4390,6584,6160,424,22127,,12862,4390,6584,6160,424,22127
Oct-94,12937,4626,6634,6222,412,22412,,12937,4626,6634,6222,412,22412
Jan-95,13122,4680,6797,6420,377,22702,,13122,4680,6797,6420,377,22702
Apr-95,13040,4809,6746,6379,367,22963,,13040,4809,6746,6379,367,22963
Jul-95,13312,4779,6847,6530,317,23108,,13312,4779,6847,6530,317,23108
Oct-95,13373,5127,6739,6662,77,23169,,13373,5127,6739,6662,77,23169
Jan-96,13801,5176,6794,6847,-53,23446,,13801,5176,6794,6847,-53,23446
Apr-96,13817,5206,7052,6994,58,23623,,13817,5206,7052,6994,58,23623
Jul-96,13864,5176,7061,7204,-143,23943,,13864,5176,7061,7204,-143,23943
Oct-96,13991,5356,7221,6941,280,24129,,13991,5356,7221,6941,280,24129
Jan-97,14005,5264,7087,6967,120,23963,,14005,5264,7087,6967,120,23963
Apr-97,14222,5340,7365,7507,-142,24713,,14222,5340,7365,7507,-142,24713
Jul-97,14183,5297,7367,6953,414,24834,,14183,5297,7367,6953,414,24834
Oct-97,14249,5132,7414,7177,237,24626,,14249,5132,7414,7177,237,24626
Jan-98,14172,5041,7362,7214,148,24244,,14172,5041,7362,7214,148,24244
Apr-98,14367,5079,7138,7222,-84,24192,,14367,5079,7138,7222,-84,24192
Jul-98,14495,4791,7569,7183,386,24369,,14495,4791,7569,7183,386,24369
Oct-98,14644,5041,7680,7378,302,24784,,14644,5041,7680,7378,302,24784
Jan-99,14741,5064,7991,7682,309,25149,,14741,5064,7991,7682,309,25149
Apr-99,14862,5149,7665,7903,-238,25357,,14862,5149,7665,7903,-238,25357
Jul-99,15109,5263,8162,8123,39,25754,,15109,5263,8162,8123,39,25754
Oct-99,15192,5342,8323,8728,-405,25899,,15192,5342,8323,8728,-405,25899
Jan-00,15176,5905,8411,8034,377,26572,,15176,5905,8411,8034,377,26572
Apr-00,15223,5436,8540,8177,363,26371,,15223,5436,8540,8177,363,26371
Jul-00,15386,5543,8494,8199,295,26470,,15386,5543,8494,8199,295,26470
Oct-00,15299,5473,8799,8087,712,26571,,15299,5473,8799,8087,712,26571
Jan-01,15422,5014,8727,8145,582,26462,,15422,5014,8727,8145,582,26462
Apr-01,15553,5661,8822,8163,659,27060,,15553,5661,8822,8163,659,27060
Jul-01,15624,5352,8873,8272,601,27234,,15624,5352,8873,8272,601,27234
Oct-01,15863,5927,8628,8433,195,27552,,15863,5927,8628,8433,195,27552
Jan-02,16026,5603,8920,8625,295,27757,,16026,5603,8920,8625,295,27757
Apr-02,16101,5802,9419,8807,612,28130,,16101,5802,9419,8807,612,28130
Jul-02,16189,6072,9222,9084,138,28460,,16189,6072,9222,9084,138,28460
Oct-02,16517,6258,9515,9393,122,28537,,16517,6258,9515,9393,122,28537
Jan-03,16617,6337,9587,9325,262,28741,,16617,6337,9587,9325,262,28741
Apr-03,16793,6667,9289,9840,-551,28704,,16793,6667,9289,9840,-551,28704
