Source = IFS,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-81,249.68,91.69,81.56,85.41,-3.85,371.72,,221.69,91.69,77.13,83.76,-6.63,366.79
Apr-81,254.25,103.01,70.15,91.71,-21.57,369.64,,249.56,103.01,71.68,94.55,-22.88,379.07
Jul-81,254.43,89.85,66.75,95.40,-28.65,379.17,,249.94,89.85,64.84,96.36,-31.53,353.03
Oct-81,258.07,104.68,68.03,91.83,-23.80,378.28,,293.91,104.68,70.18,89.95,-19.77,399.42
Jan-82,263.14,96.60,67.16,94.22,-27.06,383.98,,238.17,96.60,64.36,92.17,-27.80,378.02
Apr-82,262.48,98.20,66.14,89.50,-23.37,382.73,,257.74,98.20,67.52,92.39,-24.87,393.19
Jul-82,272.66,100.08,62.67,88.36,-25.70,387.65,,265.07,100.08,60.19,89.39,-29.20,360.91
Oct-82,268.32,97.34,59.90,89.96,-30.06,398.52,,306.52,97.34,64.06,87.89,-23.83,420.42
Jan-83,274.37,95.05,71.94,93.73,-21.79,399.07,,247.05,95.05,66.07,91.71,-25.63,391.46
Apr-83,278.20,111.96,80.44,101.71,-21.27,403.68,,273.43,111.96,82.37,105.12,-22.75,415.59
Jul-83,276.01,91.73,77.62,102.04,-24.42,394.66,,270.68,91.73,77.91,103.31,-25.40,367.30
Oct-83,269.23,94.22,77.05,114.48,-37.43,383.99,,306.12,94.22,82.25,111.71,-29.46,407.27
Jan-84,267.26,82.46,71.78,73.88,-2.10,379.85,,238.68,82.46,66.79,72.06,-5.27,374.06
Apr-84,267.00,76.32,69.81,71.35,-1.54,376.94,,262.41,76.32,71.83,74.01,-2.18,389.17
Jul-84,267.25,60.91,79.66,83.70,-4.04,353.94,,260.85,60.91,80.85,84.91,-4.05,327.11
Oct-84,279.15,57.32,88.94,88.56,0.37,350.86,,317.67,57.32,94.30,86.03,8.27,375.45
Jan-85,255.07,61.53,76.78,56.08,20.70,343.58,,226.79,61.53,69.88,54.75,15.14,332.59
Apr-85,254.83,55.79,69.40,64.40,5.00,339.54,,250.48,55.79,71.53,66.73,4.80,350.74
Jul-85,263.86,45.58,68.76,60.95,7.82,334.94,,259.60,45.58,70.23,62.12,8.11,309.09
Oct-85,266.32,36.39,68.01,58.99,9.01,339.69,,304.25,36.39,69.08,57.18,11.89,366.27
Jan-86,266.34,53.02,81.00,65.83,15.17,344.81,,237.98,53.02,76.77,63.97,12.80,332.37
Apr-86,265.14,39.35,96.84,63.04,33.80,352.27,,261.02,39.35,99.48,65.50,33.98,360.42
Jul-86,259.97,47.74,88.46,63.32,25.14,356.55,,256.58,47.74,87.81,64.77,23.04,332.84
Oct-86,272.67,40.69,83.02,68.51,14.51,349.76,,309.64,40.69,83.98,66.18,17.80,379.50
Jan-87,267.80,58.76,77.97,71.65,6.32,356.74,,239.43,58.76,74.41,69.67,4.74,342.64
Apr-87,275.38,47.90,85.50,79.45,6.05,369.32,,271.58,47.90,87.19,82.40,4.79,373.46
Jul-87,275.32,56.33,87.83,89.74,-1.92,377.65,,273.07,56.33,87.83,91.78,-3.96,355.28
Oct-87,271.49,47.96,89.81,84.74,5.07,359.62,,303.70,47.96,89.06,82.29,6.76,394.33
Jan-88,271.78,66.42,103.02,96.15,6.87,375.19,,243.99,66.42,98.89,93.24,5.65,363.06
Apr-88,269.78,64.48,104.31,102.61,1.70,383.42,,266.45,64.48,105.50,106.22,-0.72,382.25
Jul-88,276.16,70.18,112.88,108.57,4.32,397.49,,273.54,70.18,115.35,110.69,4.66,376.27
Oct-88,273.40,78.01,117.40,111.79,5.62,402.37,,304.65,78.01,121.49,109.42,12.07,443.09
Jan-89,287.56,72.10,121.28,116.24,5.03,403.32,,262.94,72.10,115.34,112.84,2.50,386.04
Apr-89,287.42,87.28,115.04,129.64,-14.61,408.71,,284.58,87.28,114.91,133.24,-18.33,402.94
Jul-89,292.69,74.97,116.41,128.11,-11.69,417.64,,288.68,74.97,119.11,130.28,-11.17,396.71
Oct-89,299.52,112.01,119.69,128.42,-8.73,429.94,,329.68,112.01,125.11,127.13,-2.02,476.08
Jan-90,298.99,95.77,118.36,130.48,-12.12,424.41,,274.94,95.77,112.79,126.21,-13.43,406.27
Apr-90,306.04,91.49,115.92,134.15,-18.23,426.67,,303.66,91.49,114.56,137.40,-22.84,417.03
