Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-93,64036.13,31171.32,65322.34,65332.31,-9.97,125712.79,,61605.00,24525.00,59890.00,57400.00,2490.00,120036.00
Apr-93,68436.70,35164.89,66722.98,73978.12,-7255.15,126779.29,,70471.00,32168.00,68445.00,75300.00,-6855.00,128528.00
Jul-93,70449.83,39488.02,70846.92,75499.21,-4652.28,125680.68,,71219.00,38512.00,72147.00,73402.00,-1255.00,129444.00
Oct-93,69997.88,37084.68,72820.21,82102.90,-9282.69,129694.09,,69913.00,49027.00,77095.00,94021.00,-16926.00,130032.00
Jan-94,69515.42,40296.25,74231.74,74827.04,-595.30,131579.71,,67297.00,31758.00,66891.00,66006.00,885.00,125582.00
Apr-94,65716.92,33716.08,78671.46,68515.12,10156.34,131421.86,,67748.00,31030.00,80800.00,69919.00,10881.00,133218.00
Jul-94,71500.13,34473.53,74928.64,71029.28,3899.35,134712.21,,72202.00,33094.00,77636.00,69930.00,7706.00,138850.00
Oct-94,70805.52,33587.26,84261.45,74103.58,10157.86,136246.02,,69937.00,44730.00,86121.00,78098.00,8023.00,136691.00
Jan-95,70035.00,32759.16,84562.84,74959.65,9603.19,138672.70,,68639.00,25733.00,78802.00,73977.00,4825.00,132106.00
Apr-95,70928.34,33846.74,83163.70,79966.88,3196.82,141216.38,,73095.00,31679.00,85606.00,81405.00,4201.00,143206.00
Jul-95,72165.60,35529.83,81844.80,84841.91,-2997.11,143182.34,,72165.00,33241.00,82004.00,76299.00,5705.00,147834.00
Oct-95,74378.90,39180.17,80082.55,80150.67,-68.13,145375.86,,73197.00,52444.00,79994.00,84998.00,-5004.00,145777.00
Jan-96,77689.08,41496.54,76610.26,95502.96,-18892.70,147454.67,,75131.00,32651.00,75532.00,90185.00,-14653.00,139672.00
Apr-96,77730.90,42263.92,79055.79,89239.35,-10183.56,149429.40,,80036.00,40358.00,81546.00,91015.00,-9469.00,151664.00
Jul-96,78759.15,47886.96,80516.16,91743.43,-11227.27,151649.44,,79201.00,43723.00,82314.00,90853.00,-8539.00,156702.00
Oct-96,79455.08,52725.80,83895.50,97864.01,-13968.52,154067.95,,78784.00,70525.00,82609.00,107347.00,-24738.00,154099.00
Jan-97,81889.86,52615.65,91935.15,107552.71,-15617.56,155245.48,,80075.00,41388.00,88779.00,100236.00,-11457.00,147603.00
Apr-97,83493.74,56169.11,96531.06,109920.24,-13389.18,157213.23,,86041.00,55057.00,99808.00,112016.00,-12208.00,159983.00
Jul-97,82835.87,51227.93,98780.86,108636.57,-9855.71,160244.80,,83110.00,46187.00,95559.00,106510.00,-10951.00,165761.00
Oct-97,82871.13,54299.05,98004.69,109067.31,-11062.61,163278.52,,82587.00,71381.00,99019.00,112911.00,-13892.00,162742.00
Jan-98,85034.07,59013.65,104789.49,116518.20,-11728.71,165053.02,,82842.00,47139.00,98850.00,114548.00,-15698.00,156816.00
Apr-98,87474.11,60383.48,103192.04,125854.19,-22662.16,165552.45,,89885.00,60116.00,106689.00,128256.00,-21567.00,169095.00
Jul-98,90003.59,60364.03,111840.94,132479.15,-20638.21,168191.75,,90201.00,54742.00,110907.00,124675.00,-13768.00,174103.00
Oct-98,87296.92,59123.00,113963.53,127067.17,-13103.64,162469.71,,87993.00,75622.00,117346.00,136949.00,-19603.00,161278.00
Jan-99,90077.69,48055.18,113831.03,118965.32,-5134.29,166434.71,,87214.00,39079.00,105795.00,110824.00,-5029.00,157986.00
Apr-99,92904.68,52730.97,114196.20,121902.20,-7706.00,168749.13,,94847.00,53125.00,117861.00,124360.00,-6499.00,173114.00
Jul-99,89219.38,46186.98,112088.52,112522.78,-434.27,167540.29,,89451.00,42691.00,112944.00,110536.00,2408.00,173405.00
Oct-99,87711.45,47730.50,114011.96,115342.29,-1330.33,167197.47,,89650.00,58780.00,119723.00,126810.00,-7087.00,165506.00
Jan-00,87332.90,50073.67,120216.96,128189.91,-7972.96,169490.93,,82974.00,41725.00,120100.00,121600.00,-1500.00,159922.00
Apr-00,88106.48,49404.20,126323.46,125775.20,548.26,171395.66,,89209.00,49992.00,130200.00,128400.00,1800.00,176303.00
Jul-00,89440.92,48412.72,130778.93,129813.61,965.32,171694.07,,89270.00,45948.00,129300.00,121300.00,8000.00,177750.00
Oct-00,90509.56,49180.07,139673.50,144069.48,-4395.99,172379.63,,93168.00,58402.00,139600.00,149500.00,-9900.00,170776.00
Jan-01,89669.82,54035.84,140684.65,143952.24,-3267.59,174085.05,,86213.00,45662.00,135800.00,139900.00,-4100.00,164720.00
Apr-01,90697.51,54083.62,136012.69,143713.99,-7701.30,176084.85,,90906.00,55126.00,140100.00,146400.00,-6300.00,181239.00
Jul-01,93568.57,55002.14,143282.65,147983.54,-4700.88,177750.31,,93646.00,53283.00,138500.00,140800.00,-2300.00,183971.00
Oct-01,93960.77,52583.25,132451.70,142292.07,-9840.37,178833.91,,98158.00,60771.00,138400.00,154400.00,-16000.00,177418.00
Jan-02,95097.38,53322.80,140685.93,143209.88,-2523.94,180980.89,,90731.00,45287.00,130226.00,132372.00,-2146.00,171078.00
Apr-02,96740.69,53724.05,143059.92,149843.53,-6783.61,183279.35,,96253.00,55201.00,147328.00,152567.00,-5239.00,188488.00
Jul-02,97502.05,53801.67,151633.88,155398.15,-3764.27,185542.02,,98312.00,52643.00,152515.00,154713.00,-2198.00,191882.00
Oct-02,98555.70,52416.13,156559.17,161740.76,-5181.59,187982.65,,103394.00,59833.00,155523.00,172722.00,-17199.00,186986.00
Jan-03,97679.52,52422.64,162136.16,164018.07,-1881.92,188690.01,,93128.00,44393.00,158090.00,154100.00,3990.00,178087.00
Apr-03,96950.23,53147.97,177599.49,173174.34,4425.15,190411.19,,96030.00,55000.00,182768.00,175877.00,6891.00,195650.00
