Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
1980Q1,48264,15134,8984,7956,1028,75851,,48264,15134,8984,7956,1028,75851
1980Q2,48420,14754,9261,7679,1582,76181,,48420,14754,9261,7679,1582,76181
1980Q3,48199,14427,8868,7883,985,75898,,48199,14427,8868,7883,985,75898
1980Q4,47949,14748,9451,7544,1907,76295,,47949,14748,9451,7544,1907,76295
1981Q1,47983,14404,9337,7244,2093,75931,,47983,14404,9337,7244,2093,75931
1981Q2,47679,14598,9951,7578,2373,75786,,47679,14598,9951,7578,2373,75786
1981Q3,47540,14704,10837,7504,3333,76106,,47540,14704,10837,7504,3333,76106
1981Q4,47688,14380,10570,7616,2954,75995,,47688,14380,10570,7616,2954,75995
1982Q1,47679,14565,10851,7738,3113,76400,,47679,14565,10851,7738,3113,76400
1982Q2,47704,14617,10174,7865,2309,76688,,47704,14617,10174,7865,2309,76688
1982Q3,47778,14703,10837,7870,2967,77147,,47778,14703,10837,7870,2967,77147
1982Q4,47799,14789,11097,7944,3153,77370,,47799,14789,11097,7944,3153,77370
1983Q1,47972,14796,11305,8074,3231,77725,,47972,14796,11305,8074,3231,77725
1983Q2,47985,14599,11735,7817,3918,78125,,47985,14599,11735,7817,3918,78125
1983Q3,47779,14503,11826,7486,4340,78151,,47779,14503,11826,7486,4340,78151
1983Q4,47972,14049,12226,7663,4563,79052,,47972,14049,12226,7663,4563,79052
1984Q1,47707,13988,13238,7627,5611,79305,,47707,13988,13238,7627,5611,79305
1984Q2,47524,13669,13342,7450,5892,79190,,47524,13669,13342,7450,5892,79190
1984Q3,48136,13657,13551,7886,5665,80195,,48136,13657,13551,7886,5665,80195
1984Q4,47935,13863,12628,7665,4963,79945,,47935,13863,12628,7665,4963,79945
1985Q1,48810,14120,13121,7964,5157,80962,,48810,14120,13121,7964,5157,80962
1985Q2,48582,14389,12866,8225,4641,80888,,48582,14389,12866,8225,4641,80888
1985Q3,48978,14860,13277,8204,5073,81626,,48978,14860,13277,8204,5073,81626
1985Q4,49300,15504,13848,8546,5302,82555,,49300,15504,13848,8546,5302,82555
1986Q1,49545,15745,12951,8246,4705,82915,,49545,15745,12951,8246,4705,82915
1986Q2,50235,16169,13491,9430,4061,84814,,50235,16169,13491,9430,4061,84814
1986Q3,50646,16365,13145,10089,3056,84182,,50646,16365,13145,10089,3056,84182
1986Q4,51824,16754,13649,10836,2813,84731,,51824,16754,13649,10836,2813,84731
1987Q1,52654,17272,13784,11239,2545,86638,,52654,17272,13784,11239,2545,86638
1987Q2,53371,17942,13977,11549,2428,87802,,53371,17942,13977,11549,2428,87802
1987Q3,53843,18533,14277,12606,1671,89533,,53843,18533,14277,12606,1671,89533
1987Q4,54402,19218,14001,12775,1226,91342,,54402,19218,14001,12775,1226,91342
1988Q1,55184,19694,14510,13035,1475,91806,,55184,19694,14510,13035,1475,91806
1988Q2,55699,20420,14495,13526,969,92826,,55699,20420,14495,13526,969,92826
1988Q3,56264,21052,14634,14295,339,94270,,56264,21052,14634,14295,339,94270
1988Q4,57491,21691,14538,15061,-523,94515,,57491,21691,14538,15061,-523,94515
1989Q1,57832,22582,14555,15894,-1339,96201,,57832,22582,14555,15894,-1339,96201
1989Q2,59012,23080,14855,16189,-1334,97379,,59012,23080,14855,16189,-1334,97379
