Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-80,38622.41,15093.19,21114.96,19493.52,1621.44,64578.71,,38622.41,15093.19,21114.96,19493.52,1621.44,64578.71
Apr-80,38631.72,15047.84,20783.54,19262.3,1521.24,64717.88,,38631.72,15047.84,20783.54,19262.3,1521.24,64717.88
Jul-80,38700.1,15109.44,20611.84,19173.96,1437.88,64805.38,,38700.1,15109.44,20611.84,19173.96,1437.88,64805.38
Oct-80,38706.19,15235.57,20784.14,18882.31,1901.83,64905.32,,38706.19,15235.57,20784.14,18882.31,1901.83,64905.32
Jan-81,38762.32,15248.28,21134.8,18326.98,2807.82,65184.73,,38762.32,15248.28,21134.8,18326.98,2807.82,65184.73
Apr-81,38969.88,15430.22,21694.15,18363.74,3330.41,65661.77,,38969.88,15430.22,21694.15,18363.74,3330.41,65661.77
Jul-81,39184.12,15588.92,22138.9,18846.78,3292.12,66086.22,,39184.12,15588.92,22138.9,18846.78,3292.12,66086.22
Oct-81,39226.03,15447.19,22031.16,18924.37,3106.79,66108.47,,39226.03,15447.19,22031.16,18924.37,3106.79,66108.47
Jan-82,39201.33,15236.06,21492.57,18611.78,2880.79,65716.25,,39201.33,15236.06,21492.57,18611.78,2880.79,65716.25
Apr-82,39137.45,15004.9,20965.63,18236.4,2729.23,65096.14,,39137.45,15004.9,20965.63,18236.4,2729.23,65096.14
Jul-82,39219.08,14726.36,20550.13,17993.09,2557.04,64540.81,,39219.08,14726.36,20550.13,17993.09,2557.04,64540.81
Oct-82,39384.99,14674.75,20369.42,18270.08,2099.34,64253.92,,39384.99,14674.75,20369.42,18270.08,2099.34,64253.92
Jan-83,39527.6,15063.07,20419.84,18889.61,1530.23,64365.19,,39527.6,15063.07,20419.84,18889.61,1530.23,64365.19
Apr-83,39519.71,15378.79,20608.9,19145.64,1463.26,64823.01,,39519.71,15378.79,20608.9,19145.64,1463.26,64823.01
Jul-83,39550.31,15298.03,21050.59,19243.82,1806.77,65448.14,,39550.31,15298.03,21050.59,19243.82,1806.77,65448.14
Oct-83,39793.02,15578.75,21703.22,19745.21,1958.01,66033.13,,39793.02,15578.75,21703.22,19745.21,1958.01,66033.13
Jan-84,40018.74,15894.28,22173.01,20307.44,1865.57,66407.17,,40018.74,15894.28,22173.01,20307.44,1865.57,66407.17
Apr-84,40180.41,15853.68,22518.02,20512.79,2005.23,66802.78,,40180.41,15853.68,22518.02,20512.79,2005.23,66802.78
Jul-84,40234.65,16133.9,22774.53,20677.11,2097.42,67327.86,,40234.65,16133.9,22774.53,20677.11,2097.42,67327.86
Oct-84,40275.85,16204.45,23110.53,20978.22,2132.31,67977.87,,40275.85,16204.45,23110.53,20978.22,2132.31,67977.87
Jan-85,40393.42,16350.52,23776.17,21180.2,2595.97,68661.28,,40393.42,16350.52,23776.17,21180.2,2595.97,68661.28
Apr-85,40656.77,16532.65,24339.09,21440.09,2899,69235,,40656.77,16532.65,24339.09,21440.09,2899,69235
Jul-85,40954.07,16716.55,24524.55,21788.52,2736.03,69668.7,,40954.07,16716.55,24524.55,21788.52,2736.03,69668.7
Oct-85,41208.81,16781.32,24524.8,22089.54,2435.26,70038.55,,41208.81,16781.32,24524.8,22089.54,2435.26,70038.55
Jan-86,41489.53,16898.59,24637.03,22647.96,1989.07,70402.7,,41489.53,16898.59,24637.03,22647.96,1989.07,70402.7
Apr-86,41730.94,17299.27,24639.66,23437.98,1201.68,70554.75,,41730.94,17299.27,24639.66,23437.98,1201.68,70554.75
Jul-86,41916.18,17871.59,24390.51,23780.53,609.98,70647.18,,41916.18,17871.59,24390.51,23780.53,609.98,70647.18
Oct-86,41992.53,17620.82,23965.51,23810.34,155.17,70733.24,,41992.53,17620.82,23965.51,23810.34,155.17,70733.24
Jan-87,42205.21,17576.25,23832.29,23960.01,-127.72,70764.05,,42205.21,17576.25,23832.29,23960.01,-127.72,70764.05
Apr-87,42483.58,17833.3,24143.14,24325.65,-182.51,70825.03,,42483.58,17833.3,24143.14,24325.65,-182.51,70825.03
Jul-87,42851.42,18320.91,25023.31,25056.26,-32.95,71196.43,,42851.42,18320.91,25023.31,25056.26,-32.95,71196.43
Oct-87,43131.48,18971.65,25912.21,25604.34,307.87,71730.42,,43131.48,18971.65,25912.21,25604.34,307.87,71730.42
Jan-88,43190.48,19250.66,26014.47,25668.29,346.18,72205.69,,43190.48,19250.66,26014.47,25668.29,346.18,72205.69
Apr-88,43223.6,19448.65,25950.02,25875.42,74.6,72924.39,,43223.6,19448.65,25950.02,25875.42,74.6,72924.39
Jul-88,43488.24,19764.03,26525.5,26410.13,115.37,73664.4,,43488.24,19764.03,26525.5,26410.13,115.37,73664.4
Oct-88,43821.79,20179.01,27186.67,26670.3,516.37,74307.82,,43821.79,20179.01,27186.67,26670.3,516.37,74307.82
Jan-89,44081.31,20473.18,27730.76,27106.76,624,75193.24,,44081.31,20473.18,27730.76,27106.76,624,75193.24
Apr-89,44376.38,20759.58,28173.78,27485.94,687.84,76158.47,,44376.38,20759.58,28173.78,27485.94,687.84,76158.47
Jul-89,44515.43,20803.29,28388.13,27731.98,656.15,76878.22,,44515.43,20803.29,28388.13,27731.98,656.15,76878.22
Oct-89,44615.74,21150.58,28604.8,28345.58,259.22,77623.79,,44615.74,21150.58,28604.8,28345.58,259.22,77623.79
Jan-90,44768.16,21689.01,28885,28891.59,-6.59,78478.56,,44768.16,21689.01,28885,28891.59,-6.59,78478.56
Apr-90,44876.92,21610.48,28852.09,28737.98,114.11,79130.04,,44876.92,21610.48,28852.09,28737.98,114.11,79130.04
Jul-90,44874.56,21394.74,28605.1,28225.41,379.69,79686.77,,44874.56,21394.74,28605.1,28225.41,379.69,79686.77
Oct-90,45096.99,21002.96,28178,27892.83,285.17,79724.99,,45096.99,21002.96,28178,27892.83,285.17,79724.99
Jan-91,45431.23,20858.97,27930.49,27919.62,10.87,79049.61,,45431.23,20858.97,27930.49,27919.62,10.87,79049.61
Apr-91,45588.77,20791.73,28098.02,28136.94,-38.92,78553.5,,45588.77,20791.73,28098.02,28136.94,-38.92,78553.5
Jul-91,45700.77,20695.14,28296.8,27935.32,361.48,78622.48,,45700.77,20695.14,28296.8,27935.32,361.48,78622.48
Oct-91,45924.34,20642.14,28582.98,27551.25,1031.73,78881.76,,45924.34,20642.14,28582.98,27551.25,1031.73,78881.76
Jan-92,45995.34,20002.57,29071.93,27164.47,1907.46,79064.24,,45995.34,20002.57,29071.93,27164.47,1907.46,79064.24
Apr-92,45769.55,19757.78,29341.53,26817.46,2524.07,78921.37,,45769.55,19757.78,29341.53,26817.46,2524.07,78921.37
Jul-92,45557.63,19466.9,29186.28,26533.68,2652.6,78372.94,,45557.63,19466.9,29186.28,26533.68,2652.6,78372.94
Oct-92,45336.3,19080.19,29052.63,26233.92,2818.71,78068.32,,45336.3,19080.19,29052.63,26233.92,2818.71,78068.32
Jan-93,45132.94,18870.65,29255.78,26122.57,3133.21,78212.66,,45132.94,18870.65,29255.78,26122.57,3133.21,78212.66
Apr-93,45213.33,18674.86,29442.67,26422.45,3020.22,78368.62,,45213.33,18674.86,29442.67,26422.45,3020.22,78368.62
Jul-93,45401.58,18933.69,29407.34,27046.77,2360.57,78376.02,,45401.58,18933.69,29407.34,27046.77,2360.57,78376.02
Oct-93,45475.36,19368.58,29679.44,27639.04,2040.4,78402.06,,45475.36,19368.58,29679.44,27639.04,2040.4,78402.06
Jan-94,45527.7,19776.47,29771.69,27996.24,1775.45,78352.67,,45527.7,19776.47,29771.69,27996.24,1775.45,78352.67
Apr-94,45692.57,20232.47,29527.95,28425.12,1102.83,78268.79,,45692.57,20232.47,29527.95,28425.12,1102.83,78268.79
Jul-94,45784.88,20395.84,29824.93,29191.92,633.01,78568.78,,45784.88,20395.84,29824.93,29191.92,633.01,78568.78
Oct-94,45860.11,20629.52,30320.21,29795.47,524.74,79001.44,,45860.11,20629.52,30320.21,29795.47,524.74,79001.44
Jan-95,45950.52,20650.33,30282.32,30136.36,145.96,79071.22,,45950.52,20650.33,30282.32,30136.36,145.96,79071.22
Apr-95,46126.39,20499.57,30295.18,30218.48,76.7,78971.4,,46126.39,20499.57,30295.18,30218.48,76.7,78971.4
Jul-95,46182.45,20517.15,30534.69,30273.78,260.91,79001.67,,46182.45,20517.15,30534.69,30273.78,260.91,79001.67
Oct-95,46184.01,20461.79,30803.43,30714.93,88.5,79148.81,,46184.01,20461.79,30803.43,30714.93,88.5,79148.81
Jan-96,46206.67,20335.92,31031.45,31078.99,-47.54,79307.51,,46206.67,20335.92,31031.45,31078.99,-47.54,79307.51
Apr-96,46199.63,20103.4,31121.03,31043.79,77.24,79356.78,,46199.63,20103.4,31121.03,31043.79,77.24,79356.78
Jul-96,46171.23,19951.8,31103.25,31070.13,33.12,79232.52,,46171.23,19951.8,31103.25,31070.13,33.12,79232.52
Oct-96,46284.21,19884.52,31417.95,31327.29,90.66,79219.18,,46284.21,19884.52,31417.95,31327.29,90.66,79219.18
Jan-97,46595.84,19956.4,32190.26,31919.7,270.56,79610.45,,46595.84,19956.4,32190.26,31919.7,270.56,79610.45
Apr-97,46830.29,20237.57,33338.65,33171.03,167.62,80327.83,,46830.29,20237.57,33338.65,33171.03,167.62,80327.83
Jul-97,47050.07,20466.88,34524.38,34273.86,250.52,81004.77,,47050.07,20466.88,34524.38,34273.86,250.52,81004.77
Oct-97,47280.23,20861.78,35114.2,34953.51,160.69,81569.12,,47280.23,20861.78,35114.2,34953.51,160.69,81569.12
Jan-98,47587.17,21117.99,35332.85,36176.36,-843.51,82109.65,,47587.17,21117.99,35332.85,36176.36,-843.51,82109.65
Apr-98,47898.43,21218.26,35757.15,36741.64,-984.49,82562.16,,47898.43,21218.26,35757.15,36741.64,-984.49,82562.16
Jul-98,48292.15,21334.8,35921.94,36917.99,-996.05,82734.96,,48292.15,21334.8,35921.94,36917.99,-996.05,82734.96
Oct-98,48485.84,21482.46,35527.24,36864.11,-1336.87,82701.73,,48485.84,21482.46,35527.24,36864.11,-1336.87,82701.73
Jan-99,48604.18,21493.6,35850.82,36876.07,-1025.25,82814.58,,48604.18,21493.6,35850.82,36876.07,-1025.25,82814.58
Apr-99,48839.12,21712.47,36905.85,37780.87,-875.02,83292,,48839.12,21712.47,36905.85,37780.87,-875.02,83292
Jul-99,49305.26,22059.14,38125.52,39526.63,-1401.11,84074.03,,49305.26,22059.14,38125.52,39526.63,-1401.11,84074.03
Oct-99,49710.98,22339.11,39615.95,41065.64,-1449.69,84989.11,,49710.98,22339.11,39615.95,41065.64,-1449.69,84989.11
Jan-00,49856.19,22630.66,40869.35,41763.89,-894.54,85757.16,,49856.19,22630.66,40869.35,41763.89,-894.54,85757.16
Apr-00,49982.21,22934.09,41550.16,42013.94,-463.78,86310.88,,49982.21,22934.09,41550.16,42013.94,-463.78,86310.88
Jul-00,50192.98,23189.49,42305.59,42854.75,-549.16,86724.51,,50192.98,23189.49,42305.59,42854.75,-549.16,86724.51
Oct-00,50508.22,23490.87,43095.75,44495.05,-1399.3,87116.98,,50508.22,23490.87,43095.75,44495.05,-1399.3,87116.98
Jan-01,50871.08,23129.82,42242.34,44947.55,-2705.21,87442.22,,50871.08,23129.82,42242.34,44947.55,-2705.21,87442.22
Apr-01,51176.7,22659.93,41741.28,43728.29,-1987.01,87434.51,,51176.7,22659.93,41741.28,43728.29,-1987.01,87434.51
Jul-01,51265.99,22072.62,40941.19,41918.35,-977.16,87098.31,,51265.99,22072.62,40941.19,41918.35,-977.16,87098.31
Oct-01,51385.72,21729.61,40582.55,40327.01,255.54,86895.7,,51385.72,21729.61,40582.55,40327.01,255.54,86895.7
Jan-02,51492.1,21610.4,40893.13,39909.14,983.99,87054.38,,51492.1,21610.4,40893.13,39909.14,983.99,87054.38
Apr-02,51531.15,21558.36,41443.22,40588.87,854.35,87408.02,,51531.15,21558.36,41443.22,40588.87,854.35,87408.02
Jul-02,51531.57,21487.48,41731.11,40806.96,924.15,87628.5,,51531.57,21487.48,41731.11,40806.96,924.15,87628.5
Oct-02,51552.56,21258.08,41478.99,40429.68,1049.31,87398.26,,51552.56,21258.08,41478.99,40429.68,1049.31,87398.26
Jan-03,51609.34,21208.1,40882.08,39698.95,1183.13,86895.53,,51609.34,21208.1,40882.08,39698.95,1183.13,86895.53
Apr-03,51696.15,20988.38,40583.32,38536.56,2046.76,86638.89,,51696.15,20988.38,40583.32,38536.56,2046.76,86638.89
