Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-87,12465883,4023380.074,2531007.508,3078814.14,-547806.6319,17988167.18,,10793036,3377845,2288679,2798462,-509783,13464440.2
Apr-87,12512534.33,4483790.638,2858860.353,3032890.925,-174030.5715,18528473.21,,11492853,4423254,2679025,2915202,-236177,16225438
Jul-87,12495013.02,4597633.356,3137279.117,3323203.621,-185924.5046,18299040.99,,14644339,5147604,3261082,3303324,-42242,25060029.1
Oct-87,13503852.12,5175875.469,3047273.369,3744397.082,-697123.7127,19902752.42,,14088313,5542393,3413512,4251669,-838157,19972017.9
Jan-88,13212234.02,4388568.964,3219109.441,3445948.125,-226838.6841,19291070.66,,11429200,3676255,2911073,3132884,-221811,14753385.9
Apr-88,12905553.71,4639549.223,3431856.823,3419577.014,12279.8093,19143205.46,,11887984,4578702,3206917,3284093,-77176,16838746.9
Jul-88,12805989.66,4649020.32,3469580.992,2942108.938,527472.0547,18926015.76,,15028703,5188302,3600341,2937132,663209,25737818.9
Oct-88,12810818.45,4753308.549,3605438.684,2932803.105,672635.5791,18937527.33,,13292107,4855347,4068062,3315653,752409,18976340.4
Jan-89,12239287.47,4849458.254,3704942.418,3000883.894,704058.5243,18983604.15,,10592816,4192418,3338366,2727008,611358,14394883.8
Apr-89,12487106.99,4499178.978,3481129.447,3250078.43,231051.0173,18857183.85,,11559154,4443437,3225667,3125386,100281,16557116.3
Jul-89,12958304.61,4785032.908,3264044.544,3650032.604,-385988.0601,18964332.06,,15246152,5193495,3412017,3678127,-266110,25902491.8
Oct-89,13348669.2,4659485.052,3329567.723,3592745.648,-263177.9254,19678183.81,,13706870,4871521,3774587,4012582,-237995,19643819.1
Jan-90,14352125.53,5042388.21,3313700.722,4381799.553,-1068098.831,20607542.97,,12478301.2,4254819.919,2955367,3992541,-1037174,15942392.9
Apr-90,14774981.26,5385867.754,3642511.578,4593627.113,-951115.5351,21083417.84,,13746821.28,5330806.668,3352739,4425056,-1072317,18762680.05
Jul-90,14227657.38,5494987.333,3337133.783,4466937.751,-1129803.968,20369557.73,,16756208.16,6091526.444,3548509,4555823,-1007314,27520913.7
