Source = IFS,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-93,166.02,44.67,16.40,20.35,-2.71,240.46,,160.47,40.66,16.40,21.62,-5.22,229.58
Apr-93,173.46,47.37,18.32,22.84,-6.57,249.20,,175.74,47.12,18.32,21.33,-3.01,256.64
Jul-93,176.66,48.65,17.73,24.48,-7.13,257.16,,177.74,50.70,17.73,24.43,-6.70,257.46
Oct-93,178.64,50.24,16.93,25.78,-7.67,257.84,,180.73,52.70,16.93,26.08,-9.15,260.10
Jan-94,182.37,51.51,17.02,27.44,-9.15,259.89,,176.69,47.49,17.02,28.68,-11.66,247.17
Apr-94,187.02,53.52,20.95,28.31,-9.39,265.26,,189.48,53.29,20.95,26.76,-5.81,273.19
Jul-94,187.16,53.08,21.07,28.42,-7.79,267.57,,187.84,55.14,21.07,28.49,-7.42,268.94
Oct-94,186.92,54.27,20.91,28.47,-6.41,269.92,,188.91,55.83,20.91,28.76,-7.85,273.05
Jan-95,182.47,50.90,21.00,27.96,-5.52,266.34,,176.97,47.72,21.00,29.05,-8.05,252.49
Apr-95,175.87,45.93,29.03,25.79,1.12,255.50,,178.23,45.75,29.03,24.22,4.81,263.24
Jul-95,174.44,44.95,24.84,24.57,-0.31,254.96,,174.80,46.16,24.84,24.92,-0.08,257.00
Oct-95,176.72,44.00,23.07,25.73,-1.50,256.64,,177.66,45.54,23.07,25.98,-2.91,259.39
Jan-96,181.63,46.86,24.10,27.46,-1.59,263.03,,175.51,42.97,24.10,28.22,-4.12,251.01
Apr-96,182.02,48.11,30.00,29.27,-1.60,268.41,,184.46,48.03,30.00,27.76,2.23,276.67
Jul-96,188.31,50.37,30.52,31.88,-2.13,272.33,,190.56,52.45,30.52,32.63,-2.11,278.17
Oct-96,192.62,51.13,28.98,31.97,-1.74,279.87,,195.87,53.56,28.98,32.11,-3.13,283.32
Jan-97,198.08,53.24,28.37,34.77,-4.28,287.76,,191.05,48.98,28.37,35.14,-6.77,272.04
Apr-97,200.10,56.48,32.78,37.00,-6.84,289.71,,202.72,56.51,32.78,35.60,-2.82,298.97
Jul-97,208.15,58.18,32.49,38.80,-7.16,298.63,,209.73,60.20,32.49,39.89,-7.40,301.44
Oct-97,208.30,59.87,30.70,39.80,-7.79,301.72,,212.86,62.44,30.70,39.83,-9.13,305.07
Jan-98,209.10,62.14,29.54,40.28,-8.36,305.18,,200.78,57.65,29.54,40.36,-10.82,288.29
Apr-98,213.69,62.68,35.94,41.10,-8.11,309.20,,216.40,62.88,35.94,39.88,-3.94,319.59
Jul-98,212.09,60.84,33.10,39.97,-7.75,308.46,,214.73,62.74,33.10,41.21,-8.12,311.22
Oct-98,209.42,57.74,28.78,36.84,-6.47,302.50,,212.51,60.49,28.78,36.69,-7.92,303.74
Jan-99,207.21,53.86,26.69,34.23,-5.10,296.54,,200.43,49.17,26.69,34.24,-7.55,281.20
Apr-99,208.10,53.69,31.22,32.71,-4.91,293.27,,210.66,54.02,31.22,31.76,-0.54,303.90
Jul-99,205.92,52.54,29.01,34.20,-6.00,294.60,,207.03,54.24,29.01,35.36,-6.35,295.47
Oct-99,207.92,52.35,29.20,35.48,-4.22,298.76,,210.53,55.38,29.20,35.12,-5.93,300.88
Jan-00,206.70,50.13,29.52,34.85,-2.81,296.49,,199.90,45.54,29.52,34.82,-5.30,280.71
Apr-00,203.44,47.22,34.77,33.52,-2.86,291.26,,205.97,47.59,34.77,33.01,1.76,302.69
Jul-00,202.72,47.10,32.06,33.16,-1.99,290.91,,203.07,47.78,32.06,34.19,-2.13,293.66
Oct-00,202.56,46.50,32.12,34.26,0.72,292.70,,203.75,48.87,32.12,33.59,-1.47,295.07
Jan-01,202.06,44.54,30.44,34.73,-1.71,292.76,,197.14,40.54,30.44,34.66,-4.21,275.02
Apr-01,201.38,43.35,35.71,31.46,-0.60,290.02,,203.98,43.66,35.71,31.42,4.29,302.18
Jul-01,190.63,38.39,32.97,26.11,5.83,277.01,,189.82,38.99,32.97,27.05,5.92,279.19
Oct-01,177.31,32.29,30.04,22.20,11.37,258.57,,181.19,35.68,30.04,21.29,8.75,264.06
Jan-02,165.20,29.29,47.04,24.47,25.32,248.53,,158.68,24.39,47.04,24.25,22.79,230.09
Apr-02,153.95,28.09,72.49,30.88,36.24,250.33,,155.97,28.36,72.49,31.18,41.31,261.35
Jul-02,150.93,28.97,77.70,33.60,42.79,246.68,,152.58,30.41,77.70,34.56,43.15,251.91
Oct-02,149.84,32.21,75.32,34.46,44.93,252.46,,152.51,35.66,75.32,33.39,41.93,254.55
,,,,,,,,,,,,,
,,,,,,,,,,,,,
