Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Oct-79,52791,16834,11093,10661,432,87541,,52791,16834,11093,10661,432,87541
Jan-80,53348,16889,10681,10499,182,87283,,53348,16889,10681,10499,182,87283
Apr-80,53716,17346,10171,10324,-153,87531,,53716,17346,10171,10324,-153,87531
Jul-80,54302,18473,9908,11523,-1615,88105,,54302,18473,9908,11523,-1615,88105
Oct-80,54948,18646,10077,11300,-1223,89580,,54948,18646,10077,11300,-1223,89580
Jan-81,55202,19076,9892,10736,-844,89748,,55202,19076,9892,10736,-844,89748
Apr-81,56101,19242,10219,12097,-1878,91431,,56101,19242,10219,12097,-1878,91431
Jul-81,57270,20109,9842,12159,-2317,93238,,57270,20109,9842,12159,-2317,93238
Oct-81,57376,20468,9470,12453,-2983,93306,,57376,20468,9470,12453,-2983,93306
Jan-82,57826,20491,10761,13153,-2392,92334,,57826,20491,10761,13153,-2392,92334
Apr-82,58808,19953,10980,13244,-2264,92767,,58808,19953,10980,13244,-2264,92767
Jul-82,58443,19199,10692,12313,-1621,91987,,58443,19199,10692,12313,-1621,91987
Oct-82,58897,18650,10617,11925,-1308,90505,,58897,18650,10617,11925,-1308,90505
Jan-83,59105,17499,9873,11312,-1439,89576,,59105,17499,9873,11312,-1439,89576
Apr-83,58677,17645,10081,11171,-1090,89772,,58677,17645,10081,11171,-1090,89772
Jul-83,59266,18109,10187,11271,-1084,92504,,59266,18109,10187,11271,-1084,92504
Oct-83,59683,18708,11159,11777,-618,94747,,59683,18708,11159,11777,-618,94747
Jan-84,60072,18934,11283,13013,-1730,96815,,60072,18934,11283,13013,-1730,96815
Apr-84,60026,19892,11826,13477,-1651,97079,,60026,19892,11826,13477,-1651,97079
Jul-84,60046,19500,12479,14620,-2141,97726,,60046,19500,12479,14620,-2141,97726
Oct-84,60699,20049,12346,14541,-2195,98949,,60699,20049,12346,14541,-2195,98949
Jan-85,61788,21660,12923,14281,-1358,100323,,61788,21660,12923,14281,-1358,100323
Apr-85,62202,21604,13557,14234,-677,102444,,62202,21604,13557,14234,-677,102444
Jul-85,63337,22671,13132,14660,-1528,103798,,63337,22671,13132,14660,-1528,103798
Oct-85,64081,21697,13450,14416,-966,103846,,64081,21697,13450,14416,-966,103846
Jan-86,63572,21530,13207,14156,-949,104526,,63572,21530,13207,14156,-949,104526
