Source = IFS,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-91,273.9349009,78.39322553,125.5367648,121.6255998,5.709615793,390.7415875,,273.3279207,77.65572944,122.234805,112.537725,9.697079985,387.757216
Apr-91,278.9875181,76.65699135,124.2181891,118.5151387,6.370457432,397.7990318,,276.3127204,76.724131,124.357816,119.2723568,5.085459201,397.7639851
Jul-91,269.0056918,77.917973,124.3362599,109.7425778,11.55431999,398.8080976,,272.9120065,79.75623231,128.6683735,118.8629565,9.80541706,402.1776041
Oct-91,269.0500694,79.65822448,123.1929681,118.5570313,4.360586329,402.5502287,,269.9268861,78.54147138,123.9851094,121.4807574,2.504352018,402.4130266
Jan-92,278.7262115,81.19374979,132.2500455,117.5261721,13.34151071,409.090181,,268.5169931,80.35779768,127.5606516,111.8620626,15.698589,408.6200941
Apr-92,276.0428254,82.8137563,129.360544,120.1485639,9.951616677,413.9169762,,273.2946391,82.78001448,129.6467988,120.6317233,9.015075505,413.7470313
Jul-92,286.2358673,80.56350398,129.8341405,115.3162984,11.34399964,410.9899054,,286.800522,82.47309327,135.2933576,125.6848457,9.608511958,412.8816362
Oct-92,277.3199155,77.28843079,129.273131,109.0530159,27.734468,414.5569854,,283.3517394,76.48208041,126.7895927,100.8657411,25.92385159,411.5721385
Jan-93,292.1353256,85.08366875,118.7610329,111.067537,-0.210124817,415.3532887,,289.4733601,83.9915511,115.8895978,113.2045471,2.68505062,416.8177452
Apr-93,294.345098,87.05187605,114.3544373,108.9221936,6.026279434,418.1613835,,291.5608255,86.85779462,114.6805755,108.9710932,5.709482339,417.6755736
Jul-93,297.1060782,84.96363256,107.1491035,115.1466876,-2.160758372,424.4538672,,303.0761788,86.98576958,109.622764,113.6223864,-3.99962241,423.408222
Oct-93,298.1745488,77.39623382,101.1415289,97.19112914,7.602660563,422.8067823,,301.0231287,76.97949299,101.0526784,95.06176542,5.990912929,422.374414
Jan-94,297.5567734,80.34489523,105.5099649,91.57630799,10.79958255,428.5445874,,298.0010475,79.11825681,101.4157428,88.63063024,12.7851126,427.8369413
Apr-94,300.6155491,80.93436711,107.1440226,97.8252718,9.737683031,431.2605819,,297.8582151,80.44368565,107.6030192,97.17307652,10.4299427,430.4955917
Jul-94,301.5257852,81.74156293,126.6117461,110.1777574,18.13571058,444.4470676,,304.3105534,83.76957789,130.3968696,114.3821856,16.01468407,445.4848584
Oct-94,298.0795245,85.73074215,125.233372,115.9248189,10.91466558,447.4605128,,303.0852995,85.74214239,126.9406864,113.7394819,13.20120442,449.0461557
Jan-95,288.1197796,79.88047615,125.4058113,120.1473234,3.376025336,443.8176172,,286.3883606,78.48212248,119.5378471,118.5659947,0.971852415,441.6165843
Apr-95,291.4147607,79.59316718,131.1035857,122.7896899,8.622250468,455.2151084,,288.6156042,78.79686013,131.7164605,121.7212179,9.995242626,454.1208373
Jul-95,304.2454691,83.33763847,130.7294816,130.7980215,-0.791254948,446.2791966,,309.2184674,85.31842474,134.913942,133.6865741,1.227367865,448.5958424
Oct-95,313.4348381,84.3394368,136.5261267,134.1010144,4.856224262,449.1619533,,310.3147138,84.99969465,137.5559808,131.3248107,6.2311701,449.6060989
Jan-96,306.2811628,81.76623748,135.1328994,113.654576,17.01882405,452.275756,,295.715603,80.24392138,130.3499151,112.8386314,17.51128367,452.1320068
Apr-96,294.3280123,80.97035738,135.2286427,106.0731242,29.30158001,454.2573646,,291.6188005,79.65402744,136.0313341,104.2268572,31.80447684,453.143904
Jul-96,287.266698,80.66265718,142.7444217,98.33492412,42.05555922,456.2691954,,291.4441841,82.51488553,143.6923786,103.6791257,40.01325292,458.8468039
Oct-96,289.9461637,81.55246491,142.8906401,104.3809612,42.67498808,463.4850046,,290.9640639,82.8417197,146.6207772,108.3745121,38.24626507,465.3559961
Jan-97,303.8483013,87.16931984,139.2310638,126.6002243,7.475393817,466.9798014,,305.9797425,85.46043165,133.5261265,123.3633094,10.16281711,465.3294207
Apr-97,317.2484058,90.33940365,141.5964727,135.9258131,5.605892957,473.0631958,,314.6060927,88.36912267,142.3254247,133.3461668,8.979257905,472.0766158
