Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Oct-79,9681,5004,4280,4351,-71,19438,,9681,5004,4280,4351,-71,19438
Jan-80,9754,5202,4557,4629,-72,19800,,9754,5202,4557,4629,-72,19800
Apr-80,9765,5201,4200,4287,-87,19644,,9765,5201,4200,4287,-87,19644
Jul-80,9874,5663,4633,4666,-33,20510,,9874,5663,4633,4666,-33,20510
Oct-80,9854,5117,4472,4204,268,20106,,9854,5117,4472,4204,268,20106
Jan-81,9832,5429,4592,4055,537,20097,,9832,5429,4592,4055,537,20097
Apr-81,9887,5181,4828,4377,451,20338,,9887,5181,4828,4377,451,20338
Jul-81,9956,5447,4765,4332,433,20593,,9956,5447,4765,4332,433,20593
Oct-81,10026,5459,4734,4368,366,20712,,10026,5459,4734,4368,366,20712
Jan-82,10065,5366,4798,4337,461,20591,,10065,5366,4798,4337,461,20591
Apr-82,10266,5683,4643,4281,362,20955,,10266,5683,4643,4281,362,20955
Jul-82,10450,5722,4321,4287,34,21224,,10450,5722,4321,4287,34,21224
Oct-82,10775,5861,4746,4609,137,21580,,10775,5861,4746,4609,137,21580
Jan-83,10673,5601,4714,4578,136,21399,,10673,5601,4714,4578,136,21399
Apr-83,10671,5871,4743,4467,276,21697,,10671,5871,4743,4467,276,21697
Jul-83,10728,5932,4806,4574,232,21811,,10728,5932,4806,4574,232,21811
Oct-83,10842,5902,4985,4656,329,21802,,10842,5902,4985,4656,329,21802
Jan-84,10971,5742,5179,4616,563,22227,,10971,5742,5179,4616,563,22227
Apr-84,11029,5644,4995,4612,383,22245,,11029,5644,4995,4612,383,22245
Jul-84,11102,5781,5116,4757,359,22394,,11102,5781,5116,4757,359,22394
Oct-84,11243,5683,5101,4554,547,22640,,11243,5683,5101,4554,547,22640
Jan-85,11380,5880,4930,4691,239,22818,,11380,5880,4930,4691,239,22818
Apr-85,11476,5788,5395,5060,335,23091,,11476,5788,5395,5060,335,23091
Jul-85,11560,5742,5260,4825,435,23132,,11560,5742,5260,4825,435,23132
Oct-85,11526,6051,4893,5144,-251,23527,,11526,6051,4893,5144,-251,23527
Jan-86,11700,5962,5059,5295,-236,23206,,11700,5962,5059,5295,-236,23206
Apr-86,11886,5472,4611,4286,325,23302,,11886,5472,4611,4286,325,23302
Jul-86,11961,6103,5598,5573,25,23998,,11961,6103,5598,5573,25,23998
