Source = IFS,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-91,198.3322205,133.0202526,282.6506065,304.3521847,-30.32228155,377.3441296,,210.9075998,128.2463095,270.9472389,292.3956625,-21.44842355,359.9872426
Apr-91,201.6496465,138.0144262,284.0353143,311.9505965,-26.51168886,377.2146059,,188.5681776,131.2000743,277.2153074,309.1677503,-31.95244288,366.3036411
Jul-91,205.8649887,141.6680485,315.3744797,320.73349,-2.296402853,391.9821159,,205.438939,149.8134264,328.7508231,330.6223357,-1.871512575,407.7355853
Oct-91,200.3291141,150.0159844,321.4831933,326.217968,-5.783409067,403.054899,,203.7112654,154.2466313,329.3974865,331.0875187,-1.690032213,415.9974593
Jan-92,213.0169689,154.1265099,304.2627825,319.6499286,-19.46924968,407.2446304,,227.8234214,148.3359818,284.4327236,307.0516505,-22.61892687,395.3184344
Apr-92,210.3223113,147.854929,310.5354925,308.2860352,6.367798922,411.4205955,,197.3194761,140.9134973,311.7320829,305.9269112,5.805171675,405.8660414
Jul-92,215.2459231,159.3717732,326.6599271,313.8510154,18.78847538,420.9590008,,214.627119,168.4609028,333.5492373,326.0000447,7.549192594,438.3222031
Oct-92,205.1737711,156.1164705,340.9236386,317.5786788,25.02147986,437.0006801,,208.9744587,160.4581662,352.5458,320.7719057,31.7738943,448.2563242
Jan-93,208.6246033,162.0598518,348.5203314,325.1447125,21.94635375,451.7322965,,220.6745182,155.3640257,322.5374732,314.4753747,8.062098501,427.1092077
Apr-93,220.3019001,187.8649168,363.1547829,362.4108023,4.431049927,461.9658463,,207.4757104,180.2541397,364.6614519,360.3684058,4.293046126,456.9780829
Jul-93,224.0782323,175.944302,370.3631586,372.8242005,-9.275177462,471.2443166,,223.0964057,185.5149,388.7266261,380.0614323,8.665193727,486.6303821
Oct-93,239.6435606,194.4105906,380.0810361,402.7278514,-23.95834984,473.2762693,,244.3144266,200,388.0058508,411.0623544,-23.0565036,484.0673926
Jan-94,243.9427368,195.2049546,420.7252384,436.6754815,-9.045347385,483.4639156,,255.0864861,185.6117545,403.4573286,417.5788114,-14.12148286,461.5946478
Apr-94,241.6858829,192.3772177,450.3245371,446.5755223,0.769679898,500.0949445,,229.2918432,187.0216938,443.636287,445.7234415,-2.087154513,491.9043704
Jul-94,244.8623285,213.6446026,457.6237081,467.3083908,-18.33416735,517.6551012,,243.4571408,223.6973458,472.3517244,478.814824,-6.463099612,532.8660965
Oct-94,250.7208363,211.7750412,468.883457,475.5402674,-4.753319196,530.1426506,,248.2028915,218.5909862,486.218803,496.052419,-9.833616025,539.2637913
Jan-95,262.1612174,251.4120741,494.5187708,505.0937757,-10.76105787,535.9729814,,280.366098,236.7075104,460.4939133,473.5645706,-13.07065732,508.9281263
Apr-95,267.6310046,267.7831338,505.0230537,554.1662425,-48.03154288,553.2116599,,255.7250748,263.9464747,506.4828425,553.7939074,-47.31106493,551.8272594
Jul-95,268.3368311,188.7001214,536.3000459,562.7452953,-31.35163244,563.3986647,,258.4619714,196.2433671,559.6860428,585.654848,-25.96880527,575.3537546
