Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-80,646580.72,207600.22,73220.78,126304.50,-50475.01,926393.99,,622669.66,214071.23,73172.48,114290.58,-41118.10,938135.47
Apr-80,655283.76,211504.89,72153.66,141924.54,-70728.35,931292.43,,656003.88,209544.89,73854.08,142765.16,-68911.09,935461.21
Jul-80,672250.38,220009.84,74917.84,156755.77,-75560.18,955543.47,,685265.25,214068.79,75286.43,157398.20,-82111.77,925245.32
Oct-80,690801.11,223147.33,78703.57,156466.65,-78106.36,981488.23,,704087.88,224178.16,80682.91,163206.39,-82523.48,995587.27
Jan-81,696732.35,240858.48,84211.99,166393.12,-79990.60,1000608.13,,669779.53,248162.87,86005.43,158235.11,-72229.68,1015502.55
Apr-81,704483.86,253460.48,88899.18,167525.00,-80038.23,1029845.50,,705334.53,250379.26,88944.06,167464.91,-78520.86,1031140.56
Jul-81,722383.79,252888.36,79806.81,162405.14,-86821.51,1033849.27,,735406.24,247244.04,73425.79,163328.20,-89902.42,1004063.39
Oct-81,732232.42,251450.94,82767.94,182853.10,-94053.64,1054171.41,,741145.21,253215.23,89067.15,190989.44,-101922.29,1067220.88
Jan-82,724436.02,241424.67,87762.75,144682.64,-63827.17,1030692.35,,700813.64,247779.77,85294.33,137553.41,-52259.08,1046416.96
Apr-82,715747.58,223335.93,101475.35,120098.64,-20399.95,1035285.34,,717005.55,219711.44,100464.96,119682.83,-19217.88,1036684.78
Jul-82,697463.88,205121.32,111326.53,95522.36,21121.16,1026380.33,,706672.17,200588.50,110386.70,96164.75,14221.95,996733.15
Oct-82,689829.70,160881.54,115663.27,66099.03,50792.96,1004571.05,,698525.88,163146.34,117401.30,69212.84,48188.45,1016645.99
Jan-83,673805.09,150257.07,115258.54,55164.81,53990.37,997985.54,,650790.50,151594.72,112432.48,51615.43,60817.05,1004290.24
Apr-83,677981.20,145831.74,116270.73,66393.20,50931.63,974298.29,,679915.92,145545.62,118729.81,66948.61,51781.20,986439.94
Jul-83,676552.61,147769.19,119222.04,73087.78,44183.04,985715.18,,687656.41,144815.76,115460.85,73660.63,41800.23,955681.79
Oct-83,674274.71,155049.59,125005.45,81067.40,43052.69,996496.69,,686710.95,158325.51,125763.90,87566.99,38196.90,1007248.32
Jan-84,693498.86,147442.25,126249.56,73993.62,51305.03,1021605.33,,670203.52,151039.10,129257.55,67221.28,62036.28,1037161.86
Apr-84,689565.95,154461.84,128111.20,77220.46,47336.85,1010277.19,,692880.84,150679.37,123715.27,76271.73,47443.54,1015362.06
Jul-84,704801.77,169276.47,128979.83,87664.96,42472.17,1032935.16,,715406.14,169024.47,125536.86,90792.90,34743.97,1000452.05
Oct-84,692068.85,168147.45,115080.71,90221.39,31307.28,1023787.34,,703133.58,169010.97,121038.46,95346.51,25691.95,1035536.33
Jan-85,721255.10,172735.77,120389.42,94150.55,18608.72,1040819.52,,691959.75,176073.67,120072.30,89398.95,30673.35,1054820.31
Apr-85,716296.00,175590.41,110884.20,94397.30,13360.03,1044085.67,,721202.53,172793.71,106067.08,92818.08,13249.00,1052453.71
Jul-85,715377.22,174539.56,117203.70,91885.64,33033.52,1047206.25,,731260.49,173507.77,118579.65,92578.04,26001.61,1012227.09
Oct-85,712120.00,170201.35,124733.64,85741.30,48647.85,1045214.34,,721416.78,169950.01,132551.55,91045.89,41505.66,1058455.30
Jan-86,716141.18,167469.76,122396.36,92238.17,13706.31,1025368.92,,688204.52,165086.95,112765.43,85313.97,27451.46,1023030.04
Apr-86,710442.93,157073.97,121645.90,86600.47,37986.68,1021505.02,,716682.99,160765.40,125552.19,87088.40,38463.79,1047877.71
Jul-86,694728.80,145123.34,120642.34,81927.44,49205.81,1003016.53,,707108.34,144175.94,123019.49,82335.58,40683.91,964236.77
Oct-86,684206.11,142942.52,137448.19,78094.52,58800.84,998133.51,,692840.29,142006.35,137370.21,83357.01,54013.20,1014174.47
Jan-87,684585.62,137094.02,130719.08,76329.57,52759.94,1003347.94,,657738.85,139746.60,136907.93,72341.13,64566.79,1012635.15
Apr-87,701050.91,157952.76,137969.30,83497.28,52402.97,1034583.17,,708041.31,157156.71,134549.98,81716.30,52833.68,1050061.13
Jul-87,708480.55,158699.10,138767.59,90678.38,48201.98,1034323.07,,719141.01,157749.25,133850.15,90871.83,42978.32,992042.26
Oct-87,717828.02,161104.00,138100.36,103076.10,39772.37,1045502.44,,724679.62,159780.70,140729.52,110565.15,30164.37,1064327.50
Jan-88,699901.94,161196.29,148695.35,106776.51,40691.16,1041103.22,,672262.52,159302.13,150035.90,95029.52,55006.38,1038644.47
Apr-88,703261.07,160170.01,148833.67,116983.12,33249.50,1033809.79,,710845.57,163971.35,150517.64,116251.50,34266.14,1061388.15
Jul-88,708288.52,165107.53,143795.32,134302.68,8805.11,1038661.15,,716630.24,163715.27,139427.20,134190.06,5237.14,993273.99
Oct-88,729021.83,162772.66,140530.10,127032.04,6047.70,1057168.08,,746074.19,163202.73,137522.75,140540.26,-3017.51,1078617.80
Jan-89,751344.52,171174.21,147029.63,139395.48,7656.21,1077725.24,,714711.79,165422.83,147794.85,125451.68,22343.17,1068782.83
Apr-89,765023.29,172489.40,138183.58,141061.53,-415.24,1077907.09,,773052.67,179305.07,141884.91,141015.31,869.60,1111605.03
