Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Oct-79,30918,11994,20469,21701,-1232,54790,,30918,11994,20469,21701,-1232,54790
Jan-80,30207,12343,21635,22205,-570,54911,,30207,12343,21635,22205,-570,54911
Apr-80,30357,11903,19929,21285,-1356,54066,,30357,11903,19929,21285,-1356,54066
Jul-80,30058,11966,20653,21256,-603,53895,,30058,11966,20653,21256,-603,53895
Oct-80,30247,11924,20475,20538,-63,54921,,30247,11924,20475,20538,-63,54921
Jan-81,29322,11244,20851,19805,1046,54230,,29322,11244,20851,19805,1046,54230
Apr-81,28986,10805,20745,20104,641,54379,,28986,10805,20745,20104,641,54379
Jul-81,28864,10633,21400,20396,1004,53938,,28864,10633,21400,20396,1004,53938
Oct-81,28594,10657,21214,19939,1275,54126,,28594,10657,21214,19939,1275,54126
Jan-82,28847,10538,21157,19950,1207,54499,,28847,10538,21157,19950,1207,54499
Apr-82,28528,10478,20921,20031,890,53224,,28528,10478,20921,20031,890,53224
Jul-82,28403,10369,20542,19565,977,53702,,28403,10369,20542,19565,977,53702
Oct-82,28622,10193,20915,20297,618,52732,,28622,10193,20915,20297,618,52732
Jan-83,28873,10321,20771,19980,791,52963,,28873,10321,20771,19980,791,52963
Apr-83,28882,10777,21672,20566,1106,54397,,28882,10777,21672,20566,1106,54397
Jul-83,28954,10978,21669,21051,618,55225,,28954,10978,21669,21051,618,55225
Oct-83,28848,10548,22098,21347,751,55233,,28848,10548,22098,21347,751,55233
Jan-84,29114,11342,22827,21778,1049,55778,,29114,11342,22827,21778,1049,55778
Apr-84,29123,11300,23049,21605,1444,55955,,29123,11300,23049,21605,1444,55955
Jul-84,29214,11121,23259,21654,1605,56540,,29214,11121,23259,21654,1605,56540
Oct-84,29328,11319,23510,22104,1406,56708,,29328,11319,23510,22104,1406,56708
Jan-85,29677,12082,24620,23317,1303,57435,,29677,12082,24620,23317,1303,57435
Apr-85,29849,11820,24257,22852,1405,57922,,29849,11820,24257,22852,1405,57922
Jul-85,30060,12073,24233,23271,962,57494,,30060,12073,24233,23271,962,57494
Oct-85,30577,12278,24258,23225,1033,59051,,30577,12278,24258,23225,1033,59051
Jan-86,30504,12168,24011,23457,554,59342,,30504,12168,24011,23457,554,59342
Apr-86,30860,12809,25423,23837,1586,59854,,30860,12809,25423,23837,1586,59854
Jul-86,31178,13328,24629,24135,494,59993,,31178,13328,24629,24135,494,59993
Oct-86,31163,13318,25056,24514,542,59087,,31163,13318,25056,24514,542,59087
Jan-87,31522,12320,25810,24696,1114,59497,,31522,12320,25810,24696,1114,59497
Apr-87,31792,13037,25778,24331,1447,60459,,31792,13037,25778,24331,1447,60459
Jul-87,31774,13482,26636,25806,830,61153,,31774,13482,26636,25806,830,61153
Oct-87,32185,13144,27033,26442,591,61654,,32185,13144,27033,26442,591,61654
Jan-88,31914,13677,27133,25853,1280,62152,,31914,13677,27133,25853,1280,62152
Apr-88,31797,13691,28032,26863,1169,61930,,31797,13691,28032,26863,1169,61930
Jul-88,32307,13474,28944,27247,1697,62361,,32307,13474,28944,27247,1697,62361
Oct-88,32231,13876,29680,27819,1861,63554,,32231,13876,29680,27819,1861,63554
Jan-89,32723,14210,29860,28203,1657,64790,,32723,14210,29860,28203,1657,64790
Apr-89,32842,14358,30617,29060,1557,65015,,32842,14358,30617,29060,1557,65015
Jul-89,33215,14373,30770,29304,1466,65528,,33215,14373,30770,29304,1466,65528
Oct-89,33371,14617,31105,29556,1549,66626,,33371,14617,31105,29556,1549,66626
