Source = OECD,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
1979Q4,92079,51980,62220,57176,5044,191087,,92079,51980,62220,57176,5044,191087
1980Q1,92596,47624,66416,55652,10764,193833,,92596,47624,66416,55652,10764,193833
1980Q2,92530,48202,61513,55008,6505,191828,,92530,48202,61513,55008,6505,191828
1980Q3,92873,48678,56382,53178,3204,189617,,92873,48678,56382,53178,3204,189617
1980Q4,93718,48333,61959,52331,9628,195353,,93718,48333,61959,52331,9628,195353
1981Q1,91527,48355,59790,55574,4216,193499,,91527,48355,59790,55574,4216,193499
1981Q2,91612,47676,63334,51745,11589,195113,,91612,47676,63334,51745,11589,195113
1981Q3,91608,52207,64732,57292,7440,194870,,91608,52207,64732,57292,7440,194870
1981Q4,94016,53431,63305,62266,1039,197724,,94016,53431,63305,62266,1039,197724
1982Q1,93099,56618,61907,57770,4137,194859,,93099,56618,61907,57770,4137,194859
1982Q2,92986,50428,61584,60392,1192,195586,,92986,50428,61584,60392,1192,195586
1982Q3,93566,50402,64932,59732,5200,196404,,93566,50402,64932,59732,5200,196404
1982Q4,92511,50499,63638,65778,-2140,198568,,92511,50499,63638,65778,-2140,198568
1983Q1,94366,52176,63543,64474,-931,197602,,94366,52176,63543,64474,-931,197602
1983Q2,94607,54847,65581,59331,6250,202317,,94607,54847,65581,59331,6250,202317
1983Q3,95401,52058,67915,58053,9862,203353,,95401,52058,67915,58053,9862,203353
1983Q4,94370,57221,69248,55928,13320,205340,,94370,57221,69248,55928,13320,205340
1984Q1,96878,51115,69520,58471,11049,209152,,96878,51115,69520,58471,11049,209152
1984Q2,96779,57627,68865,57453,11412,210389,,96779,57627,68865,57453,11412,210389
1984Q3,97460,54369,70555,60754,9801,215082,,97460,54369,70555,60754,9801,215082
1984Q4,99133,52704,73459,65643,7816,217263,,99133,52704,73459,65643,7816,217263
1985Q1,103937,51256,71775,64761,7014,221642,,103937,51256,71775,64761,7014,221642
1985Q2,104832,49838,74913,63960,10953,220346,,104832,49838,74913,63960,10953,220346
1985Q3,107867,52286,75837,65684,10153,226427,,107867,52286,75837,65684,10153,226427
1985Q4,110569,50512,83686,71501,12185,228789,,110569,50512,83686,71501,12185,228789
1986Q1,112263,55306,78174,76085,2089,229483,,112263,55306,78174,76085,2089,229483
1986Q2,113589,58452,70910,76902,-5992,230318,,113589,58452,70910,76902,-5992,230318
