Source = IFS,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-80,215.6508892,108.0064369,172.8176109,106.5544067,74.70897732,441.9212135,,213.8223369,104.6811648,179.491338,100.8993734,78.59196461,441.5775894
Apr-80,225.4579539,118.2355753,149.3819085,123.6531055,27.34772851,449.3557505,,227.91338,119.3257925,145.5796994,124.8846555,20.69504391,449.9851168
Jul-80,231.7723986,120.5449717,160.6139487,128.37319,28.55039872,457.8212413,,232.3747615,122.9633293,160.7433053,131.6328694,29.11043595,457.669752
Oct-80,242.0279283,121.9547615,151.4465534,130.6145808,15.14000194,458.7767661,,241.6666667,120.9274756,154.2189679,136.1576011,18.06136681,458.7029289
Jan-81,248.7809648,126.6514138,134.9248766,132.6644947,7.4962022,464.6585916,,246.7840581,124.4371262,135.4660932,124.7462867,10.71980644,464.3860474
Apr-81,254.6476504,126.5728221,131.538862,145.4776576,-11.80489288,474.0486927,,256.2944736,127.7581964,128.0175567,146.2592272,-18.24167055,474.5361442
Jul-81,265.3169012,132.8873615,131.2107011,147.7460136,-20.75046372,481.6799707,,266.4275934,135.1242094,131.3946665,151.0921301,-19.69746365,481.4566082
Oct-81,268.7663893,137.7535832,150.4060243,152.9101994,-4.332200115,484.3748827,,267.331006,135.4427166,153.4370041,155.6140908,-2.177086639,484.443034
Jan-82,272.7820265,135.7580109,122.4498194,148.447495,-25.00679153,480.2195455,,272.7295193,135.0920549,122.7356975,145.0451007,-22.30940319,479.9579884
Apr-82,271.2881419,133.4971882,125.2520082,137.1492786,-9.916198284,475.5896233,,271.9060577,134.6722669,121.9356365,136.5830573,-14.64742073,475.9465215
Jul-82,266.7144881,128.2179423,129.6764782,122.2942248,7.85862143,476.0878682,,266.8620048,128.7541556,129.6782555,121.564208,8.114047445,475.8438046
Oct-82,261.5490101,123.6239569,126.9934241,107.1642134,18.75993043,465.5565568,,260.2167183,123.8977261,130.0523113,109.367994,20.68431728,465.7787979
Jan-83,261.5375349,124.4655896,124.4916527,98.1919748,25.71284668,459.2466171,,262.1920615,121.7823303,124.31242,96.82970551,27.48271447,458.581306
Apr-83,260.362096,124.9139124,118.3818566,92.28397057,26.62223733,459.8921029,,260.2873421,126.3363884,115.3331682,91.30542482,24.02774337,460.485509
