Source = IFS,Deseasonalized,,,,,,,Raw,,,,,
,Ch,I,Exports,Imports,NX,GDP,,Ch,I,Exports,Imports,NX,GDP
Jan-93,474.64,357.38,312.31,355.65,-43.34,842.09,,481.48,337.48,315.50,348.14,-32.64,856.99
Apr-93,473.12,353.89,320.56,351.17,-30.61,853.71,,489.68,350.51,307.24,352.16,-44.92,836.95
Jul-93,480.88,353.52,347.60,366.07,-18.47,908.40,,464.99,367.16,343.78,352.72,-8.94,888.50
Oct-93,494.11,348.75,350.41,390.65,-40.24,911.42,,488.81,336.49,364.98,410.71,-45.73,933.76
Jan-94,505.96,355.52,348.65,392.08,-43.43,936.60,,512.24,353.41,352.92,384.57,-31.66,950.58
Apr-94,512.08,384.61,366.65,415.20,-48.55,936.77,,529.86,380.58,350.72,414.73,-64.01,920.09
Jul-94,516.06,396.03,376.63,422.29,-45.66,956.42,,500.51,392.76,372.32,411.26,-38.94,937.06
Oct-94,531.33,416.21,394.33,442.42,-48.10,1001.85,,526.87,403.96,411.07,461.90,-50.83,1024.49
Jan-95,540.07,427.86,421.57,485.82,-64.25,1028.49,,544.30,426.92,427.85,477.84,-49.99,1041.46
Apr-95,556.99,424.43,444.35,508.53,-64.18,1050.07,,574.80,418.23,423.52,505.59,-82.07,1033.52
Jul-95,560.10,432.81,440.94,501.42,-60.49,1046.17,,548.33,431.82,435.60,495.04,-59.45,1026.74
Oct-95,567.72,441.90,442.68,534.24,-91.56,1060.72,,562.03,439.00,462.11,551.99,-89.87,1084.49
Jan-96,579.46,431.72,441.81,525.50,-83.70,1078.11,,573.07,435.94,449.94,517.02,-67.08,1090.66
Apr-96,603.93,451.75,447.12,522.88,-75.76,1118.43,,619.67,443.52,423.80,517.18,-93.38,1100.96
Jul-96,620.72,448.68,428.77,491.49,-62.72,1126.75,,609.47,463.20,423.70,489.93,-66.23,1107.14
Oct-96,619.90,442.41,421.00,475.30,-54.30,1109.68,,611.02,477.68,440.64,492.32,-51.68,1134.50
Jan-97,627.56,423.67,439.17,492.00,-52.83,1087.80,,636.94,375.48,447.99,481.92,-33.93,1101.60
Apr-97,613.57,389.74,465.83,489.25,-23.42,1114.18,,623.90,380.10,438.86,480.88,-42.02,1094.58
Jul-97,608.65,354.36,548.25,535.00,13.25,1110.00,,599.96,409.12,543.14,538.38,4.75,1089.31
Oct-97,569.79,300.31,627.95,516.53,111.42,1060.47,,563.73,301.43,658.67,532.87,125.79,1086.96
Jan-98,528.09,257.39,643.71,475.90,167.81,1007.18,,537.15,242.77,656.58,464.26,192.32,1023.60
Apr-98,532.47,217.40,581.33,422.67,158.66,965.37,,537.06,208.11,544.41,412.34,132.07,942.65
Jul-98,526.32,206.09,568.72,408.46,160.26,960.02,,518.58,229.57,566.09,415.01,151.08,937.64
Oct-98,528.00,201.45,510.22,373.38,136.84,980.90,,525.93,195.08,536.41,390.26,146.15,1009.03
Jan-99,542.71,201.06,545.41,399.05,146.36,1001.27,,553.15,193.44,553.95,385.55,168.40,1021.45
Apr-99,556.71,228.03,588.54,462.17,126.37,1000.90,,557.72,221.12,550.13,450.89,99.24,975.14
Jul-99,583.96,217.31,610.96,478.78,132.18,1042.04,,573.52,233.92,611.24,487.36,123.88,1016.53
Oct-99,599.95,229.14,634.44,528.37,106.07,1043.13,,602.85,202.79,667.44,545.17,122.27,1073.84
Jan-00,599.82,239.23,653.89,556.03,97.86,1064.47,,597.06,253.89,660.15,541.33,118.82,1087.79
Apr-00,594.91,223.88,682.58,579.89,102.68,1062.31,,594.36,219.20,639.41,569.64,69.77,1034.46
Jul-00,597.84,238.03,748.65,656.67,91.98,1068.33,,586.57,236.60,751.55,664.31,87.24,1039.42
Oct-00,604.99,247.73,766.48,694.63,71.85,1082.08,,614.39,229.97,806.44,712.15,94.29,1115.12
Jan-01,611.66,255.27,719.90,680.89,39.01,1079.40,,619.85,256.93,722.53,665.90,56.63,1105.04
Apr-01,618.29,257.29,754.66,665.96,88.70,1082.82,,617.26,255.76,709.42,656.31,53.11,1053.95
Jul-01,615.22,245.93,713.10,631.87,81.23,1089.88,,601.43,254.61,717.54,638.55,79.00,1057.85
Oct-01,629.50,252.87,695.22,617.05,78.17,1107.68,,640.32,234.72,730.84,634.76,96.08,1142.92
Jan-02,629.42,262.92,699.82,632.31,67.51,1121.29,,638.69,263.05,699.87,617.70,82.17,1147.85
Apr-02,640.29,267.76,747.95,651.98,95.97,1137.06,,639.69,267.71,704.99,642.78,62.21,1107.99
Jul-02,651.47,259.88,750.93,669.78,81.15,1152.67,,633.15,271.51,756.39,675.53,80.87,1118.72
Oct-02,665.59,235.67,769.41,683.47,85.95,1177.77,,678.80,254.25,808.36,701.07,107.30,1214.22
Jan-03,671.24,318.10,795.29,712.47,82.82,1197.72,,680.38,279.36,793.95,698.69,95.26,1224.64
Apr-03,,,,,,,,,,,,,
